hessSRR094166,hessSRR094403,hessSRR094405,hessSRR094415,hessSRR094416,hessSRR094417,hessSRR094418,hessSRR094419,hessSRR094424,hessSRR094427,hessSRR094428,shiSRR1222429,shiSRR1222431,shiSRR1267595,shiSRR873450,shiSRR873451,shiSRR873452,shiSRR873453,shiSRR873454,shiSRR873455,shiSRR873456,shiSRR873457,shiSRR873458,shiSRR873459,shiSRR873460,shiSRR873461,shiSRR873462,shiSRR873463,shiSRR873464,shiSRR873465,shiSRR873595,shiSRR873596,shiSRR873597,shiSRR873598,shiSRR873599,shiSRR873600,shiSRR873601,shiSRR873602,shiSRR873603,shiSRR873604,shiSRR873605,shiSRR873606,shiSRR873607,shiSRR873608,shiSRR873609,shiSRR873610,stewartERR2027889,stewartERR2027890,stewartERR2027891,stewartERR2027892,stewartERR2027893,stewartERR2027894,stewartERR2027895,stewartERR2027896,stewartERR2027897,stewartERR2027898,stewartERR2027899,stewartERR2027900,stewartERR2027901,stewartERR2027902,stewartERR2027903,stewartERR2027904,stewartERR2027905,stewartERR2027906,stewartERR2027907,stewartERR2027908,stewartERR2027909,stewartERR2027910,stewartERR2027911,stewartERR2027912,stewartERR2027913,stewartERR2027914,stewartERR2027915,stewartERR2027916,stewartERR2027917,stewartERR2027918,stewartERR2027919,stewartERR2027920,stewartERR2027921,stewartERR2027922,stewartERR2027923,stewartERR2027924,stewartERR2027925,stewartERR2027926,stewartERR2027927,stewartERR2027928,stewartERR2027929,stewartERR2027930,wallaceERR2027889,wallaceERR2027890,wallaceERR2282092,wallaceERR2530126,wallaceERR2530127,wallaceERR983262,wallaceERR983263,wallaceERR983264,wallaceERR983265,wallaceERR983266,wallaceERR983267,wallaceERR983268,wallaceERR983269
gene:plasmid:125192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10279.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:122429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006.0,0,12552.0,0,0,9610.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:21293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,894.0,0,0,0,0,0,0,0,0,0,0
gene:vir:109045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,794.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:22070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,746.0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:22256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,952.0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:122431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:97798,32.0,29.0,30.0,54.0,39.0,34.0,37.0,376.0,1376.0,313.0,1089.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.0,57.0,199.0,0,0,431.0,0,41.0,0,0,0,0,63.0,0,0,0,483.0,213.0,87.0,214.0,267.0,300.0,334.0,231.0,217.0,3474.0,644.0,173.0,224.0,327.0,121.0,221.0,218.0,197.0,182.0,199.0,175.0,680.0,209.0,375.0,459.0,125.0,391.0,639.0,190.0,157.0,387.0,336.0,279.0,184.0,122.0,184.0,233.0,192.0,193.0,182.0,431.0,286.0,483.0,88.0,82.0,0,0,165.0,297.0,728.0,70.0,315.0,302.0,303.0,103.0
gene:plasmid:88693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:22685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454.0,0,0,0,0,0,0,0,0,0,0
