stewartERR2027890.kraken.filtered.report,shiSRR873458.kraken.filtered.report,shiSRR873455.kraken.filtered.report,stewartERR2027917.kraken.filtered.report,shiSRR873463.kraken.filtered.report,wallaceERR983265.kraken.filtered.report,shiSRR873599.kraken.filtered.report,wallaceERR983268.kraken.filtered.report,stewartERR2027895.kraken.filtered.report,hessSRR094166.kraken.filtered.report,stewartERR2027928.kraken.filtered.report,stewartERR2027923.kraken.filtered.report,shiSRR873457.kraken.filtered.report,hessSRR094424.kraken.filtered.report,shiSRR873597.kraken.filtered.report,shiSRR873452.kraken.filtered.report,hessSRR094418.kraken.filtered.report,shiSRR873460.kraken.filtered.report,stewartERR2027903.kraken.filtered.report,stewartERR2027908.kraken.filtered.report,shiSRR873602.kraken.filtered.report,shiSRR873596.kraken.filtered.report,stewartERR2027927.kraken.filtered.report,stewartERR2027929.kraken.filtered.report,stewartERR2027912.kraken.filtered.report,wallaceERR983264.kraken.filtered.report,shiSRR873459.kraken.filtered.report,shiSRR873606.kraken.filtered.report,shiSRR873604.kraken.filtered.report,stewartERR2027909.kraken.filtered.report,stewartERR2027920.kraken.filtered.report,shiSRR873454.kraken.filtered.report,shiSRR873462.kraken.filtered.report,stewartERR2027889.kraken.filtered.report,stewartERR2027916.kraken.filtered.report,shiSRR873464.kraken.filtered.report,stewartERR2027891.kraken.filtered.report,shiSRR873595.kraken.filtered.report,stewartERR2027900.kraken.filtered.report,hessSRR094416.kraken.filtered.report,shiSRR873609.kraken.filtered.report,wallaceERR983263.kraken.filtered.report,hessSRR094415.kraken.filtered.report,stewartERR2027925.kraken.filtered.report,shiSRR1222431.kraken.filtered.report,stewartERR2027898.kraken.filtered.report,stewartERR2027918.kraken.filtered.report,shiSRR873456.kraken.filtered.report,hessSRR094419.kraken.filtered.report,hessSRR094403.kraken.filtered.report,shiSRR873598.kraken.filtered.report,shiSRR873605.kraken.filtered.report,stewartERR2027926.kraken.filtered.report,hessSRR094417.kraken.filtered.report,stewartERR2027915.kraken.filtered.report,stewartERR2027897.kraken.filtered.report,shiSRR873607.kraken.filtered.report,stewartERR2027924.kraken.filtered.report,stewartERR2027902.kraken.filtered.report,wallaceERR2027890.kraken.filtered.report,shiSRR1222429.kraken.filtered.report,wallaceERR2530126.kraken.filtered.report,wallaceERR2027889.kraken.filtered.report,stewartERR2027899.kraken.filtered.report,shiSRR1267595.kraken.filtered.report,stewartERR2027919.kraken.filtered.report,shiSRR873608.kraken.filtered.report,shiSRR873451.kraken.filtered.report,hessSRR094428.kraken.filtered.report,shiSRR873601.kraken.filtered.report,stewartERR2027910.kraken.filtered.report,stewartERR2027907.kraken.filtered.report,hessSRR094427.kraken.filtered.report,shiSRR873610.kraken.filtered.report,wallaceERR983269.kraken.filtered.report,stewartERR2027921.kraken.filtered.report,hessSRR094405.kraken.filtered.report,wallaceERR983266.kraken.filtered.report,shiSRR873465.kraken.filtered.report,stewartERR2027913.kraken.filtered.report,wallaceERR983262.kraken.filtered.report,stewartERR2027905.kraken.filtered.report,shiSRR873461.kraken.filtered.report,stewartERR2027911.kraken.filtered.report,shiSRR873453.kraken.filtered.report,stewartERR2027914.kraken.filtered.report,stewartERR2027901.kraken.filtered.report,wallaceERR983267.kraken.filtered.report,stewartERR2027893.kraken.filtered.report,stewartERR2027892.kraken.filtered.report,shiSRR873603.kraken.filtered.report,stewartERR2027904.kraken.filtered.report,stewartERR2027896.kraken.filtered.report,stewartERR2027894.kraken.filtered.report,wallaceERR2530127.kraken.filtered.report,stewartERR2027906.kraken.filtered.report,wallaceERR2282092.kraken.filtered.report,stewartERR2027930.kraken.filtered.report,stewartERR2027922.kraken.filtered.report,shiSRR873600.kraken.filtered.report,shiSRR873450.kraken.filtered.report
"Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio",50.0,20.0,14.0,58.0,11.0,71.0,1100.0,192.0,26.0,7.0,65.0,44.0,6.0,194.0,1384.0,8.0,7.0,3.0,117.0,86.0,691.0,534.0,85.0,95.0,90.0,58.0,2.0,466.0,835.0,64.0,80.0,7.0,6.0,52.0,59.0,2.0,42.0,792.0,25.0,12.0,1089.0,148.0,10.0,30.0,851.0,99.0,35.0,11.0,314.0,5.0,989.0,1078.0,84.0,3.0,71.0,72.0,943.0,42.0,67.0,25.0,8.0,2.0,52.0,23.0,291.0,100.0,1010.0,5.0,103.0,1555.0,47.0,34.0,148.0,983.0,228.0,96.0,9.0,213.0,12.0,47.0,52.0,14.0,4.0,75.0,7.0,68.0,8.0,184.0,42.0,43.0,291.0,18.0,76.0,39.0,3.0,20.0,43.0,49.0,55.0,958.0,9.0
"Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio|Butyrivibrio fibrisolvens",193.0,3124.0,3709.0,342.0,845.0,532.0,25292.0,759.0,126.0,319.0,112.0,191.0,260.0,8636.0,1100.0,1281.0,364.0,526.0,667.0,178.0,3430.0,5059.0,218.0,479.0,439.0,789.0,140.0,893.0,5965.0,272.0,343.0,1296.0,887.0,217.0,313.0,255.0,110.0,22349.0,125.0,380.0,2707.0,476.0,297.0,221.0,2951.0,92.0,119.0,82.0,7248.0,322.0,12855.0,8035.0,331.0,393.0,317.0,251.0,9705.0,221.0,253.0,96.0,12.0,57.0,217.0,89.0,1516.0,304.0,10661.0,325.0,6483.0,2524.0,248.0,68.0,5002.0,2222.0,1120.0,551.0,315.0,243.0,90.0,270.0,363.0,118.0,93.0,226.0,56.0,379.0,134.0,547.0,120.0,167.0,2422.0,92.0,708.0,162.0,164.0,132.0,624.0,323.0,276.0,39191.0,1730.0
"Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio|Butyrivibrio proteoclasticus",168.0,303.0,74.0,376.0,116.0,84.0,3434.0,450.0,45.0,14.0,82.0,56.0,150.0,434.0,2140.0,220.0,9.0,52.0,114.0,163.0,1680.0,1230.0,362.0,278.0,727.0,51.0,71.0,1743.0,1663.0,113.0,143.0,175.0,68.0,63.0,122.0,164.0,45.0,3522.0,13.0,12.0,1468.0,76.0,10.0,71.0,1754.0,20.0,122.0,277.0,805.0,13.0,2601.0,935.0,330.0,15.0,134.0,196.0,1071.0,86.0,59.0,73.0,7.0,1.0,63.0,8.0,166.0,420.0,1594.0,60.0,319.0,6676.0,60.0,1.0,529.0,8345.0,1661.0,131.0,8.0,233.0,626.0,144.0,12.0,11.0,147.0,221.0,139.0,152.0,17.0,800.0,20.0,17.0,444.0,14.0,130.0,15.0,2.0,11.0,18.0,117.0,150.0,917.0,203.0
"Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio|Butyrivibrio hungatei",159.0,88.0,66.0,173.0,25.0,678.0,1353.0,869.0,204.0,19.0,185.0,165.0,6.0,742.0,1786.0,11.0,20.0,79.0,838.0,294.0,997.0,1186.0,241.0,247.0,321.0,45.0,31.0,822.0,2058.0,483.0,462.0,3.0,90.0,182.0,273.0,7.0,157.0,1097.0,54.0,8.0,1826.0,642.0,15.0,107.0,1256.0,2041.0,118.0,12.0,1201.0,17.0,1259.0,2626.0,206.0,17.0,252.0,293.0,2335.0,128.0,405.0,75.0,7.0,0.0,182.0,50.0,502.0,259.0,1550.0,45.0,540.0,1945.0,259.0,46.0,836.0,1796.0,577.0,238.0,17.0,489.0,23.0,180.0,114.0,281.0,19.0,196.0,10.0,246.0,80.0,328.0,167.0,165.0,603.0,52.0,238.0,172.0,6.0,46.0,44.0,282.0,159.0,2315.0,7.0
"Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Pseudobutyrivibrio|Pseudobutyrivibrio xylanivorans",129.0,29.0,15.0,64.0,8.0,138.0,354.0,198.0,101.0,9.0,46.0,44.0,6.0,248.0,341.0,19.0,17.0,4.0,155.0,89.0,319.0,210.0,84.0,129.0,99.0,180.0,1.0,78.0,177.0,96.0,70.0,5.0,1.0,68.0,67.0,2.0,38.0,333.0,12.0,12.0,477.0,114.0,18.0,29.0,244.0,39.0,33.0,4.0,418.0,11.0,338.0,358.0,55.0,14.0,75.0,114.0,155.0,33.0,84.0,53.0,0.0,8.0,68.0,60.0,179.0,101.0,502.0,1.0,141.0,226.0,50.0,12.0,282.0,313.0,251.0,67.0,13.0,215.0,5.0,72.0,62.0,36.0,1.0,50.0,8.0,92.0,46.0,203.0,31.0,47.0,120.0,56.0,80.0,12.0,9.0,24.0,113.0,97.0,53.0,342.0,8.0
"Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|NA|[Eubacterium] rectale",35.0,0.0,1.0,3.0,0.0,294.0,13.0,33.0,18.0,0.0,1.0,1.0,1.0,6.0,50.0,0.0,0.0,0.0,20.0,135.0,11.0,61.0,0.0,3.0,3.0,18132.0,0.0,13.0,11.0,28.0,0.0,0.0,0.0,5.0,2.0,0.0,2.0,56.0,129.0,0.0,11.0,51.0,0.0,0.0,3.0,98.0,3.0,0.0,17.0,0.0,16.0,6.0,2.0,0.0,1.0,8.0,27.0,0.0,6.0,9.0,0.0,291.0,5.0,345.0,7.0,6.0,15.0,0.0,3.0,13.0,10.0,224.0,3.0,5.0,8.0,2.0,0.0,1038.0,0.0,11.0,1289.0,918.0,0.0,9.0,0.0,2.0,451.0,10.0,11.0,139.0,5.0,1104.0,30.0,3179.0,266.0,505.0,3136.0,53.0,1.0,190.0,0.0
"Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|NA|Lachnospiraceae bacterium GAM79",17.0,1.0,0.0,52.0,1.0,61.0,61.0,52.0,54.0,4.0,81.0,49.0,0.0,62.0,88.0,0.0,6.0,0.0,32.0,32.0,71.0,91.0,45.0,57.0,40.0,284.0,0.0,13.0,56.0,18.0,149.0,0.0,0.0,29.0,31.0,0.0,4.0,150.0,34.0,5.0,253.0,87.0,3.0,33.0,129.0,53.0,50.0,1.0,62.0,6.0,17.0,45.0,40.0,9.0,34.0,16.0,131.0,49.0,26.0,8.0,0.0,3.0,29.0,51.0,12.0,42.0,95.0,0.0,63.0,94.0,73.0,34.0,43.0,53.0,33.0,64.0,4.0,69.0,0.0,26.0,181.0,60.0,2.0,29.0,3.0,47.0,56.0,44.0,44.0,41.0,34.0,148.0,39.0,58.0,11.0,35.0,133.0,24.0,37.0,165.0,0.0
"Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Roseburia|Roseburia hominis",22.0,0.0,0.0,115.0,0.0,683.0,8.0,156.0,54.0,9.0,21.0,294.0,0.0,66.0,33.0,0.0,4.0,0.0,17.0,49.0,3.0,18.0,93.0,345.0,148.0,782.0,0.0,2.0,19.0,37.0,103.0,0.0,0.0,70.0,111.0,0.0,18.0,15.0,164.0,6.0,8.0,78.0,2.0,68.0,7.0,59.0,30.0,0.0,37.0,3.0,7.0,4.0,82.0,5.0,156.0,38.0,17.0,117.0,136.0,16.0,0.0,10.0,70.0,187.0,91.0,125.0,33.0,0.0,48.0,12.0,34.0,146.0,26.0,9.0,66.0,155.0,3.0,143.0,0.0,300.0,689.0,233.0,0.0,48.0,0.0,51.0,103.0,52.0,29.0,153.0,0.0,564.0,69.0,166.0,10.0,86.0,113.0,31.0,71.0,46.0,1.0
"Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Roseburia|Roseburia intestinalis",8.0,0.0,0.0,2.0,0.0,70.0,12.0,4.0,33.0,0.0,1.0,7.0,0.0,2.0,34.0,0.0,0.0,0.0,2.0,13.0,18.0,62.0,3.0,12.0,5.0,851.0,0.0,11.0,13.0,23.0,3.0,0.0,0.0,52.0,26.0,0.0,2.0,71.0,31.0,0.0,24.0,47.0,0.0,3.0,13.0,19.0,1.0,0.0,13.0,0.0,31.0,50.0,2.0,0.0,24.0,10.0,16.0,3.0,13.0,2.0,0.0,9.0,52.0,258.0,81.0,6.0,54.0,0.0,5.0,72.0,15.0,94.0,20.0,64.0,4.0,2.0,0.0,57.0,0.0,8.0,316.0,134.0,0.0,0.0,0.0,6.0,38.0,7.0,2.0,88.0,29.0,348.0,8.0,215.0,6.0,200.0,97.0,25.0,5.0,106.0,0.0
"Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerostipes|Anaerostipes hadrus",16.0,0.0,4.0,6.0,0.0,51.0,5.0,76.0,16.0,0.0,13.0,4.0,0.0,1.0,25.0,0.0,0.0,0.0,5.0,12.0,15.0,5.0,7.0,19.0,11.0,952.0,0.0,6.0,5.0,18.0,24.0,0.0,15.0,69.0,132.0,0.0,7.0,62.0,23.0,1.0,15.0,37.0,0.0,10.0,12.0,194.0,12.0,0.0,5.0,0.0,38.0,15.0,10.0,0.0,43.0,10.0,1525.0,15.0,4.0,9.0,0.0,4.0,69.0,24.0,1.0,12.0,45.0,0.0,1.0,15.0,10.0,183.0,7.0,59.0,35.0,15.0,0.0,44.0,0.0,26.0,51.0,107.0,0.0,6.0,0.0,7.0,18.0,29.0,3.0,15.0,4.0,347.0,25.0,390.0,7.0,79.0,40.0,22.0,6.0,136.0,0.0
"Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerostipes|Anaerostipes rhamnosivorans",1.0,0.0,0.0,1.0,0.0,0.0,44.0,2.0,0.0,0.0,3.0,0.0,0.0,5.0,23.0,0.0,1.0,0.0,1.0,1.0,31.0,107.0,3.0,1.0,1.0,10.0,0.0,19.0,64.0,4.0,3.0,0.0,0.0,2.0,5.0,0.0,0.0,18.0,237.0,0.0,103.0,3.0,0.0,16.0,105.0,1.0,1.0,0.0,5.0,0.0,40.0,17.0,1.0,1.0,0.0,4.0,62.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,4.0,2.0,162.0,0.0,3.0,40.0,0.0,0.0,6.0,283.0,2.0,2.0,0.0,1.0,0.0,5.0,7.0,48.0,0.0,4.0,0.0,0.0,11.0,6.0,6.0,1.0,13.0,2.0,5.0,0.0,0.0,1.0,2.0,5.0,0.0,27.0,0.0
"Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnoclostridium|[Clostridium] scindens",3.0,0.0,0.0,0.0,0.0,123.0,62.0,3.0,9.0,1.0,1.0,0.0,0.0,3.0,85.0,0.0,0.0,0.0,2.0,1.0,81.0,455.0,3.0,3.0,2.0,14.0,0.0,27.0,162.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,212.0,4.0,0.0,57.0,19.0,1.0,0.0,66.0,27.0,0.0,0.0,8.0,0.0,107.0,64.0,0.0,0.0,3.0,1.0,105.0,0.0,0.0,3.0,0.0,1.0,1.0,3.0,37.0,1.0,44.0,0.0,4.0,65.0,3.0,3.0,9.0,51.0,7.0,1.0,0.0,5.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,2.0,8.0,11.0,10.0,4.0,0.0,2.0,2.0,45.0,0.0,3.0,172.0,0.0
"Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnoclostridium|Lachnoclostridium phytofermentans",2.0,0.0,0.0,2.0,0.0,5.0,11.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,3.0,14.0,3.0,0.0,0.0,1.0,4.0,0.0,12.0,4.0,1.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,21.0,3.0,1.0,1.0,17.0,1.0,0.0,0.0,13.0,1.0,16.0,13.0,3.0,0.0,1.0,1.0,13.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,8.0,2.0,21.0,0.0,0.0,17.0,0.0,0.0,8.0,8.0,3.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,0.0,9.0,1.0,0.0,0.0,4.0,1.0,2.0,10.0,0.0
"Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnoclostridium|[Clostridium] bolteae",2.0,0.0,0.0,3.0,0.0,69.0,10.0,1.0,21.0,0.0,3.0,3.0,0.0,4.0,14.0,0.0,0.0,0.0,24.0,6.0,5.0,11.0,1.0,3.0,3.0,27.0,0.0,11.0,2.0,4.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,19.0,11.0,0.0,1.0,14.0,0.0,3.0,3.0,41.0,8.0,0.0,8.0,2.0,3.0,3.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,27.0,0.0,1.0,1.0,2.0,1.0,1.0,15.0,6.0,11.0,0.0,6.0,2.0,16.0,0.0,0.0,8.0,9.0,0.0,0.0,0.0,1.0,7.0,0.0,4.0,23.0,1.0,15.0,0.0,8.0,0.0,4.0,18.0,0.0,2.0,11.0,0.0
"Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnoclostridium|Lachnoclostridium phocaeense",1.0,0.0,4.0,2.0,0.0,25.0,18.0,5.0,10.0,2.0,1.0,3.0,0.0,32.0,153.0,0.0,5.0,0.0,37.0,58.0,18.0,109.0,3.0,7.0,8.0,20.0,0.0,9.0,6.0,17.0,11.0,0.0,0.0,4.0,7.0,0.0,0.0,202.0,25.0,2.0,8.0,39.0,2.0,3.0,3.0,9.0,1.0,0.0,17.0,2.0,49.0,7.0,4.0,3.0,4.0,0.0,121.0,4.0,5.0,1.0,0.0,1.0,4.0,4.0,9.0,5.0,6.0,0.0,18.0,29.0,5.0,13.0,3.0,7.0,1.0,4.0,3.0,4.0,0.0,9.0,16.0,5.0,0.0,8.0,1.0,4.0,15.0,7.0,3.0,5.0,0.0,13.0,40.0,3.0,0.0,9.0,23.0,3.0,6.0,827.0,1.0
"Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Blautia",2.0,0.0,0.0,2.0,0.0,5.0,29.0,7.0,2.0,0.0,3.0,1.0,0.0,1.0,117.0,0.0,0.0,0.0,11.0,9.0,44.0,31.0,2.0,6.0,4.0,53.0,0.0,5.0,38.0,3.0,5.0,0.0,0.0,0.0,4.0,0.0,1.0,42.0,6.0,0.0,54.0,9.0,0.0,0.0,36.0,4.0,1.0,0.0,21.0,1.0,42.0,41.0,2.0,1.0,3.0,2.0,66.0,0.0,1.0,0.0,0.0,5.0,0.0,30.0,18.0,2.0,33.0,0.0,0.0,78.0,2.0,17.0,4.0,12.0,8.0,1.0,0.0,19.0,0.0,2.0,20.0,3.0,0.0,1.0,0.0,8.0,4.0,15.0,1.0,3.0,6.0,14.0,7.0,5.0,2.0,7.0,37.0,0.0,4.0,87.0,0.0
"Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Blautia|[Ruminococcus] gnavus",1.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,3.0,4.0,1.0,1.0,0.0,41.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,14.0,0.0,1.0,14.0,0.0,2.0,4.0,2.0,0.0,0.0,6.0,0.0,6.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,37.0,1.0,1.0,1.0,0.0,1.0,3.0,4.0,25.0,6.0,0.0,1.0,2.0,0.0,11.0,0.0,7.0,10.0,9.0,0.0,2.0,0.0,0.0,2.0,3.0,1.0,10.0,1.0,23.0,1.0,7.0,0.0,19.0,5.0,1.0,0.0,2.0,0.0
"Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Blautia|Blautia sp. N6H1-15",1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,16.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,1.0,132.0,1.0,4.0,0.0,1.0,2.0,1.0,0.0,30.0,0.0
"Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Herbinix|Herbinix luporum",2.0,0.0,0.0,5.0,0.0,0.0,9.0,7.0,1.0,0.0,5.0,2.0,0.0,3.0,42.0,0.0,0.0,0.0,0.0,4.0,16.0,3.0,4.0,2.0,5.0,2.0,0.0,1.0,11.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,10.0,0.0,0.0,11.0,1.0,0.0,6.0,9.0,0.0,0.0,0.0,21.0,0.0,18.0,14.0,3.0,0.0,2.0,2.0,20.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,15.0,0.0,1.0,6.0,1.0,0.0,9.0,13.0,2.0,2.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,6.0,4.0,1.0,16.0,0.0
"Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnoanaerobaculum|Lachnoanaerobaculum umeaense",1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,0.0,1.0,0.0,7.0,0.0,7.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,30.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,4.0,0.0,7.0,3.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,10.0,0.0,0.0,10.0,0.0,2.0,3.0,7.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,11.0,0.0
"Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Eubacterium|[Eubacterium] cellulosolvens",289.0,1.0,3.0,171.0,1.0,126.0,181.0,172.0,37.0,2.0,31.0,189.0,1.0,39.0,242.0,0.0,3.0,1.0,410.0,132.0,167.0,441.0,281.0,203.0,274.0,119.0,2.0,36.0,187.0,1015.0,138.0,0.0,4.0,90.0,363.0,1.0,27.0,546.0,28.0,2.0,169.0,85.0,0.0,22.0,102.0,48.0,35.0,2.0,114.0,1.0,316.0,125.0,157.0,0.0,311.0,108.0,115.0,89.0,154.0,129.0,1.0,28.0,90.0,66.0,91.0,211.0,150.0,3.0,42.0,328.0,245.0,28.0,69.0,107.0,287.0,339.0,3.0,96.0,4.0,214.0,101.0,56.0,2.0,91.0,2.0,187.0,90.0,115.0,6.0,23.0,76.0,50.0,165.0,31.0,90.0,24.0,843.0,238.0,165.0,217.0,2.0
"Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Eubacterium|Eubacterium sp. YI",50.0,0.0,0.0,151.0,0.0,156.0,1.0,203.0,171.0,48.0,186.0,119.0,0.0,435.0,2.0,0.0,49.0,0.0,95.0,122.0,0.0,272.0,108.0,252.0,162.0,129.0,0.0,0.0,0.0,200.0,248.0,0.0,0.0,109.0,139.0,0.0,60.0,1.0,180.0,36.0,0.0,217.0,39.0,128.0,0.0,118.0,57.0,0.0,255.0,35.0,0.0,1.0,162.0,40.0,199.0,83.0,4.0,136.0,96.0,28.0,0.0,14.0,109.0,31.0,1.0,146.0,0.0,0.0,266.0,1.0,171.0,97.0,169.0,0.0,172.0,249.0,37.0,117.0,0.0,87.0,123.0,190.0,0.0,207.0,0.0,158.0,452.0,93.0,121.0,65.0,0.0,158.0,121.0,53.0,36.0,92.0,334.0,94.0,114.0,2.0,0.0
"Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Eubacterium|[Eubacterium] eligens",9.0,0.0,22.0,1.0,2.0,43.0,9.0,6.0,6.0,0.0,1.0,0.0,0.0,3.0,261.0,87.0,0.0,0.0,6.0,25.0,8.0,2568.0,2.0,0.0,0.0,1104.0,0.0,25.0,18.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1642.0,173.0,1.0,12.0,4.0,0.0,1.0,7.0,25.0,0.0,26.0,11.0,0.0,406.0,6.0,2.0,1.0,0.0,4.0,12.0,1.0,3.0,5.0,0.0,0.0,2.0,89.0,24.0,1.0,82.0,200.0,0.0,362.0,5.0,9.0,6.0,187.0,2.0,1.0,0.0,152.0,31.0,0.0,242.0,48.0,0.0,2.0,6.0,1.0,784.0,0.0,2.0,10.0,4.0,445.0,14.0,167.0,1.0,43.0,6.0,4.0,2.0,257.0,136.0
"Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Eubacterium|[Eubacterium] hallii",6.0,2.0,12.0,22.0,1.0,57.0,59.0,25.0,47.0,4.0,8.0,2.0,0.0,14.0,592.0,4.0,8.0,0.0,6.0,16.0,72.0,345.0,17.0,421.0,24.0,1491.0,0.0,19.0,45.0,76.0,11.0,0.0,0.0,6.0,55.0,0.0,9.0,841.0,71.0,6.0,10.0,502.0,2.0,5.0,23.0,13.0,4.0,1.0,43.0,3.0,358.0,33.0,21.0,2.0,31.0,43.0,507.0,7.0,58.0,4.0,0.0,12.0,6.0,612.0,48.0,24.0,20.0,0.0,7.0,166.0,7.0,155.0,29.0,39.0,12.0,108.0,5.0,1378.0,0.0,28.0,1118.0,274.0,0.0,16.0,1.0,3.0,31.0,43.0,12.0,124.0,14.0,156.0,23.0,49.0,24.0,28.0,188.0,7.0,25.0,2813.0,0.0
"Bacteria|NA|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Clostridioides|Clostridioides difficile",225.0,1.0,0.0,377.0,0.0,597.0,49.0,673.0,364.0,42.0,263.0,298.0,0.0,530.0,54.0,0.0,30.0,4.0,165.0,349.0,11.0,23.0,299.0,696.0,468.0,925.0,0.0,1.0,8.0,2110.0,522.0,1.0,0.0,324.0,559.0,0.0,148.0,20.0,776.0,38.0,7.0,1578.0,25.0,431.0,4.0,456.0,288.0,0.0,274.0,29.0,29.0,140.0,344.0,55.0,739.0,390.0,24.0,370.0,401.0,105.0,0.0,101.0,324.0,1972.0,20.0,457.0,13.0,0.0,496.0,31.0,528.0,941.0,201.0,18.0,535.0,625.0,27.0,266.0,0.0,359.0,903.0,576.0,0.0,438.0,0.0,336.0,494.0,309.0,470.0,496.0,32.0,1072.0,636.0,250.0,145.0,279.0,1604.0,223.0,345.0,53.0,0.0
