stewartERR2027890.kraken.filtered.report,shiSRR873458.kraken.filtered.report,shiSRR873455.kraken.filtered.report,stewartERR2027917.kraken.filtered.report,shiSRR873463.kraken.filtered.report,wallaceERR983265.kraken.filtered.report,shiSRR873599.kraken.filtered.report,wallaceERR983268.kraken.filtered.report,stewartERR2027895.kraken.filtered.report,hessSRR094166.kraken.filtered.report,stewartERR2027928.kraken.filtered.report,stewartERR2027923.kraken.filtered.report,shiSRR873457.kraken.filtered.report,hessSRR094424.kraken.filtered.report,shiSRR873597.kraken.filtered.report,shiSRR873452.kraken.filtered.report,hessSRR094418.kraken.filtered.report,shiSRR873460.kraken.filtered.report,stewartERR2027903.kraken.filtered.report,stewartERR2027908.kraken.filtered.report,shiSRR873602.kraken.filtered.report,shiSRR873596.kraken.filtered.report,stewartERR2027927.kraken.filtered.report,stewartERR2027929.kraken.filtered.report,stewartERR2027912.kraken.filtered.report,wallaceERR983264.kraken.filtered.report,shiSRR873459.kraken.filtered.report,shiSRR873606.kraken.filtered.report,shiSRR873604.kraken.filtered.report,stewartERR2027909.kraken.filtered.report,stewartERR2027920.kraken.filtered.report,shiSRR873454.kraken.filtered.report,shiSRR873462.kraken.filtered.report,stewartERR2027889.kraken.filtered.report,stewartERR2027916.kraken.filtered.report,shiSRR873464.kraken.filtered.report,stewartERR2027891.kraken.filtered.report,shiSRR873595.kraken.filtered.report,stewartERR2027900.kraken.filtered.report,hessSRR094416.kraken.filtered.report,shiSRR873609.kraken.filtered.report,wallaceERR983263.kraken.filtered.report,hessSRR094415.kraken.filtered.report,stewartERR2027925.kraken.filtered.report,shiSRR1222431.kraken.filtered.report,stewartERR2027898.kraken.filtered.report,stewartERR2027918.kraken.filtered.report,shiSRR873456.kraken.filtered.report,hessSRR094419.kraken.filtered.report,hessSRR094403.kraken.filtered.report,shiSRR873598.kraken.filtered.report,shiSRR873605.kraken.filtered.report,stewartERR2027926.kraken.filtered.report,hessSRR094417.kraken.filtered.report,stewartERR2027915.kraken.filtered.report,stewartERR2027897.kraken.filtered.report,shiSRR873607.kraken.filtered.report,stewartERR2027924.kraken.filtered.report,stewartERR2027902.kraken.filtered.report,wallaceERR2027890.kraken.filtered.report,shiSRR1222429.kraken.filtered.report,wallaceERR2530126.kraken.filtered.report,wallaceERR2027889.kraken.filtered.report,stewartERR2027899.kraken.filtered.report,shiSRR1267595.kraken.filtered.report,stewartERR2027919.kraken.filtered.report,shiSRR873608.kraken.filtered.report,shiSRR873451.kraken.filtered.report,hessSRR094428.kraken.filtered.report,shiSRR873601.kraken.filtered.report,stewartERR2027910.kraken.filtered.report,stewartERR2027907.kraken.filtered.report,hessSRR094427.kraken.filtered.report,shiSRR873610.kraken.filtered.report,wallaceERR983269.kraken.filtered.report,stewartERR2027921.kraken.filtered.report,hessSRR094405.kraken.filtered.report,wallaceERR983266.kraken.filtered.report,shiSRR873465.kraken.filtered.report,stewartERR2027913.kraken.filtered.report,wallaceERR983262.kraken.filtered.report,stewartERR2027905.kraken.filtered.report,shiSRR873461.kraken.filtered.report,stewartERR2027911.kraken.filtered.report,shiSRR873453.kraken.filtered.report,stewartERR2027914.kraken.filtered.report,stewartERR2027901.kraken.filtered.report,wallaceERR983267.kraken.filtered.report,stewartERR2027893.kraken.filtered.report,stewartERR2027892.kraken.filtered.report,shiSRR873603.kraken.filtered.report,stewartERR2027904.kraken.filtered.report,stewartERR2027896.kraken.filtered.report,stewartERR2027894.kraken.filtered.report,wallaceERR2530127.kraken.filtered.report,stewartERR2027906.kraken.filtered.report,wallaceERR2282092.kraken.filtered.report,stewartERR2027930.kraken.filtered.report,stewartERR2027922.kraken.filtered.report,shiSRR873600.kraken.filtered.report,shiSRR873450.kraken.filtered.report
"Bacteria|NA|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|Bifidobacterium longum",24.0,0.0,0.0,15.0,0.0,6.0,15.0,15.0,12.0,1.0,6.0,44.0,0.0,3.0,1.0,0.0,0.0,0.0,2106.0,95.0,0.0,11.0,16.0,904.0,10.0,3.0,0.0,0.0,1.0,1858.0,28.0,0.0,0.0,10.0,3.0,0.0,1.0,1.0,9.0,1.0,1.0,3.0,1.0,50.0,2.0,21.0,1.0,0.0,5.0,0.0,2.0,0.0,7.0,0.0,38.0,23.0,0.0,1.0,83.0,13.0,0.0,7.0,10.0,10.0,1.0,10.0,1.0,0.0,0.0,7.0,8.0,3.0,2.0,0.0,5.0,253.0,0.0,59.0,0.0,3.0,72.0,6.0,0.0,13.0,0.0,14.0,11.0,3.0,5.0,3.0,1.0,10.0,49.0,8.0,12.0,6.0,186.0,30.0,14.0,1.0,0.0
"Bacteria|NA|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|Bifidobacterium thermophilum",24.0,0.0,0.0,18.0,0.0,161.0,3.0,640.0,66.0,0.0,0.0,38.0,0.0,0.0,2.0,0.0,0.0,0.0,92.0,61.0,0.0,3.0,15.0,114.0,2.0,154.0,0.0,0.0,0.0,426.0,5.0,0.0,0.0,4.0,72.0,0.0,19.0,6.0,1.0,0.0,0.0,924.0,0.0,12.0,0.0,14.0,0.0,0.0,2.0,0.0,2.0,0.0,5.0,0.0,27.0,31.0,0.0,0.0,46.0,9.0,0.0,215.0,4.0,17.0,0.0,4.0,0.0,0.0,0.0,2.0,14.0,6.0,0.0,0.0,30.0,123.0,0.0,333.0,0.0,19.0,277.0,28.0,0.0,39.0,0.0,9.0,2.0,5.0,1.0,119.0,0.0,4.0,2.0,14.0,160.0,12.0,5667.0,7.0,3.0,1.0,0.0
"Bacteria|NA|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|Bifidobacterium bifidum",12.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,255.0,2.0,1.0,3.0,0.0,118.0,0.0,2.0,0.0,0.0,0.0,277.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,0.0,145.0,9.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,230.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,40.0,29.0,1.0,2.0,0.0
"Bacteria|NA|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|Bifidobacterium pseudocatenulatum",12.0,0.0,0.0,23.0,0.0,20.0,0.0,51.0,12.0,22.0,16.0,27.0,0.0,304.0,0.0,0.0,19.0,0.0,382.0,47.0,0.0,0.0,33.0,264.0,40.0,20.0,0.0,0.0,0.0,527.0,40.0,0.0,0.0,30.0,23.0,0.0,13.0,0.0,34.0,16.0,0.0,32.0,15.0,39.0,0.0,46.0,10.0,0.0,305.0,16.0,0.0,0.0,27.0,12.0,50.0,39.0,1.0,16.0,44.0,6.0,0.0,11.0,30.0,9.0,0.0,39.0,0.0,0.0,188.0,0.0,34.0,34.0,246.0,1.0,23.0,149.0,14.0,23.0,0.0,18.0,9.0,32.0,0.0,41.0,0.0,36.0,16.0,21.0,21.0,46.0,0.0,39.0,25.0,17.0,7.0,18.0,52.0,30.0,26.0,1.0,0.0
"Bacteria|NA|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|Bifidobacterium breve",5.0,0.0,0.0,4.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,125.0,5.0,0.0,0.0,3.0,75.0,0.0,1.0,0.0,0.0,0.0,51.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,1.0,2.0,10.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,33.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,15.0,5.0,0.0,3.0,2.0
"Bacteria|NA|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|Bifidobacterium catenulatum",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,2.0,0.0,0.0,0.0
"Bacteria|NA|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|Bifidobacterium gallinarum",1.0,0.0,0.0,1.0,0.0,1.0,11.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,45.0,3.0,2.0,6968.0,4.0,18.0,1.0,0.0,0.0,0.0,1.0,595.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,133.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,29.0,1.0,0.0,3.0,0.0,2.0,0.0,1.0,1.0,3.0,11.0,0.0,3.0,1.0,1.0,0.0,4.0,0.0,1.0,3.0,1.0,1.0,294.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,45.0,0.0,3.0,0.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,6.0,1.0,1.0,0.0,55.0,1.0,3.0,3.0,0.0
"Bacteria|NA|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|Bifidobacterium asteroides",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0
"Bacteria|NA|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|Bifidobacterium kashiwanohense",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,1.0,0.0,1.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,47.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,12.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,17.0,4.0,0.0,0.0,0.0
"Bacteria|NA|Actinobacteria|Actinobacteria|Streptosporangiales|Nocardiopsaceae|Thermobifida|Thermobifida fusca",3346.0,0.0,0.0,17.0,0.0,5.0,32.0,766.0,206.0,1.0,8.0,7.0,0.0,23.0,0.0,0.0,2.0,0.0,411.0,5380.0,1.0,37.0,69.0,27.0,95.0,4.0,0.0,0.0,0.0,3926.0,9.0,0.0,0.0,5096.0,72.0,0.0,5467.0,105.0,46.0,0.0,50.0,21.0,0.0,14.0,51.0,97.0,6.0,0.0,8.0,1.0,1.0,0.0,9.0,4.0,17.0,1586.0,58.0,6.0,2567.0,1637.0,0.0,0.0,5096.0,359.0,0.0,12.0,20.0,0.0,24.0,3.0,2994.0,76.0,16.0,102.0,662.0,13.0,0.0,59.0,1.0,560.0,12.0,1445.0,0.0,4659.0,0.0,610.0,147.0,94.0,39.0,39.0,1.0,319.0,15044.0,33.0,0.0,35.0,9.0,1503.0,7.0,58.0,0.0
