"ID","Description","Species","Candidatus Korarchaeota","Candidatus Micrarchaeota","Crenarchaeota","Euryarchaeota","Thaumarchaeota","Acidobacteria","Actinobacteria","Aquificae","Armatimonadetes","Bacteroidetes","Caldiserica","Calditrichaeota","Candidatus Bipolaricaulota","Candidatus Cloacimonetes","Candidatus Gracilibacteria","Candidatus Saccharibacteria","Chlamydiae","Chlorobi","Chloroflexi","Chrysiogenetes","Coprothermobacterota","Cyanobacteria","Deferribacteres","Deinococcus-Thermus","Dictyoglomi","Elusimicrobia","Fibrobacteres","Firmicutes","Fusobacteria","Gemmatimonadetes","Ignavibacteriae","Kiritimatiellaeota","Lentisphaerae","Nitrospirae","Planctomycetes","Proteobacteria","Spirochaetes","Synergistetes","Tenericutes","Thermodesulfobacteria","Thermotogae","Verrucomicrobia","Chordata","Apicomplexa","Bacillariophyta"
"wallaceERR2027889","Metagenomic sequencing of the rumen of Scottish cattle.","bovine ",0.431875240260264,0.351195250321533,43.0404016914322,1767.87417718275,19.6954093085725,61.0178018024859,3532.15572187234,21.3707055702414,11.4897797436275,6993.51237963258,1.67055037990783,4.29027711203603,2.43938322520633,1.76546801512987,3.62110778372068,16.8526261336725,16.7292332078839,60.1255760313988,85.4685846356824,4.09095007806975,0.953922233981463,1263.51033890342,18.7747082469187,110.550569743105,5.61912400514454,10.4267022291407,604.297870522854,7982.29311514933,221.072664195644,17.5123036984657,9.37311647817606,9.2212482618208,26.3254061288317,17.4031484179603,143.529702101002,6721.87234527238,280.552800307533,43.9848321618915,407.490899771723,10.630775144868,49.5707349947083,124.736010327039,978.373016814659,597.871946618322,9.18802708949309
"wallaceERR2027890","Metagenomic sequencing of the rumen of Scottish cattle.","bovine ",0.278660998177986,226.07981136794,25.3510056803973,770.404772962738,11.2393269265121,37.2619770640563,2272.49473044907,11.1321496195206,6.47350934228859,7435.21846307743,0.94316030152549,3.37965774713301,1.03604730091815,1.12893430031081,2.90093244257083,7.15229895323497,9.33871601586224,40.9202958093673,52.1810581972777,2.0720946018363,0.521596227358794,766.896502447215,14.1545496766818,63.177449894609,4.01557643528277,8.91000678789611,672.194633989497,4367.52527598156,114.608266942946,9.68882855203458,5.35886534957665,5.82330034653996,18.5345289557358,10.5533921617663,87.2637633525061,4667.01439748492,149.233682255011,24.6293451466543,228.130470508378,6.02336465292415,27.0015362080669,76.8675645743274,603.958415204887,340.673788003287,4.63005966203422
"wallaceERR2282092","Metagenomic sequencing of the rumen of Scottish cattle.","bovine ",0.581767241005039,0.222866057499443,10.2344724586757,844.610259363993,5.09697567865609,77.7773597029224,9898.32097922135,10.2402611874419,10.4486554230258,9521.31265213503,0.992766983406609,4.10131433086637,1.19826685460739,1.6497876983725,0.147612583538592,2.10709727090382,5.64690491144692,72.4227855941696,170.020752592627,4.93778563758506,0.98118952587417,199.488276377066,11.8668939707496,114.883111094388,1.52822439428189,5.30536991423998,17.9653197259616,9645.04672951296,31.7482829183297,24.8075971276328,4.03474395005485,6.33865799901013,23.2417459963705,20.2952830543648,155.783374192111,8776.39587958283,148.188562050831,58.4024845223865,51.4357494522415,2.10999163528693,23.1896474374745,102.935174920911,173.436102564696,35.3749214903661,4.20840581304143
"wallaceERR2530126","Metagenomic sequencing of the rumen of Scottish cattle.","bovine ",0.0384027527093142,0.122888808669805,5.89866281615066,227.213726679928,3.68666426009416,68.710205147505,4216.98323335818,10.5146736918102,7.17363420609989,18507.9224878839,0.153611010837257,4.56224702186653,1.55147120945629,3.079900767287,0.138249909753531,2.07374864630297,6.25196814107635,94.3094801035338,123.257475095815,4.49312206698976,1.14440203073756,172.090415440979,8.34875843900491,80.2310309602993,0.929346615565404,4.34719160669437,34.0786027542454,5749.56028848147,17.135308258896,30.0002304165163,4.80802463920614,4.51616371861535,25.3150945859799,20.9295002265762,122.420295086752,7469.71174893804,151.660150999624,53.2646180078188,31.4902572216376,1.92781818600757,21.4056943601717,96.3064232444181,77.8577408428636,20.3457783853947,4.70817748216192
"wallaceERR2530127","Metagenomic sequencing of the rumen of Scottish cattle.","bovine ",0.18765598904089,280.933525993482,6.64927721168221,190.126792896595,5.05420130483464,56.5344942983855,2823.58460470266,11.309400939531,6.07379884529015,17037.9190201855,0.544202368218582,4.12217655926489,1.18223273095761,1.82651829333133,0.356546379177691,2.01417428237222,6.53042841862298,67.5686664539899,102.566508410116,4.49123333771197,0.982066342647326,222.153415026241,13.6613560021768,64.4660874351805,1.28857112474745,5.32317488912659,17.2393301932231,5301.92597596752,29.1179542995115,15.5128950940469,4.6225925300406,3.19015181369513,10.8465161665635,12.6167376631825,110.748309532299,6104.1553291173,139.766180637655,29.7184534644423,47.3268404361125,2.17680947287433,22.2560003002496,73.6737412974535,163.829933632332,41.9348583510043,3.37780780273602
"wallaceERR983262","low methane producing","bovine ",0.275578063986107,0.109191308371854,11.7770625458214,729.075565584979,7.13903173307405,33.1213635394623,1927.42937662162,11.8602559236285,4.98640308231465,9271.66797522917,1.17510646152566,8.20494688622786,0.462763164052141,1.20110439209039,0.743540814151194,4.56523660716607,8.19974730011491,36.7870717490888,93.5457537580009,2.60499264258565,0.941125086443119,375.098142187882,10.7423449093452,41.7838740036293,2.78697815653874,7.7057866193851,12.7181876322645,6963.53530258991,78.7009354055417,7.06103794137987,5.44916624636679,3.00536077328245,23.9648923945654,10.2275858841636,63.9601087753415,3797.23174035347,138.475377359962,25.9875313925012,120.417214789703,4.20646516537284,29.0916843019296,44.0664923072123,206.662749645128,93.9305231303588,4.2480618542764
"wallaceERR983263","high methane producing","bovine ",0.317799415602186,0.203038515523619,11.3966401539562,1262.18451787181,5.27900140361409,41.3536489552344,2679.66701683454,13.0783287281844,8.25837092488458,6019.04148165149,1.07698690842963,4.80230228021081,1.74789678581202,0.882776154450516,0.436974196453005,6.78413474695222,8.84100318682192,50.958253515656,87.7920885601038,3.91069836421579,0.692979281243655,241.536383619206,11.4407789616787,87.1564897288994,2.25549307462107,8.43492615577468,50.3800351344909,5793.88059569735,55.0057821838116,10.7831107266131,6.21474412733163,5.19955154971354,26.0065855101122,13.73599696325,96.2226008351062,4502.14073217454,222.124135982839,41.7817953901429,102.247548089231,4.6169192877762,25.9359634177562,78.200725641999,131.555716416988,46.9857608206287,3.63703775633613
"wallaceERR983264","low methane producing","bovine ",0.230020925514752,0.0958420522978132,8.75037937479034,444.413207034806,6.4150280338003,42.5985975113014,2551.44961104101,10.5585994281424,5.05726562624794,4899.04637157964,0.798683769148443,2.92957206523649,0.50796287717841,1.15968883280354,0.741178537769756,3.54615593501909,8.35423222529272,42.876539462965,70.7729661517819,1.51110969122885,0.712425922080412,176.91803907161,9.19125281536029,69.1851828187148,2.22034087823267,4.68028688720988,28.1488107598677,9020.77855693816,64.150280338003,10.8876571410316,3.75061897992109,3.42475600210853,23.9988498953724,14.4210341357443,79.2837403958277,5375.92128172773,212.715045604843,35.7618644473907,107.276009136942,2.88484577416418,32.6661661581713,53.5086177978691,118.202003098893,37.1004584444835,2.53661965081546
"wallaceERR983265","high methane producing","bovine ",0.285181403891015,0.233848751190632,43.7810491253486,4726.14600147153,22.5920708162462,26.7842374534441,1369.46391599697,24.7309313454288,4.40890450415509,10890.6158207235,4.35757185145471,5.07052536118225,0.399253965447421,2.46396732961837,4.72260404843521,3.53624940824859,22.312593040433,36.0811512202912,53.4544023453319,2.40122742076235,1.46583241599982,4290.36029818567,15.3484631574144,34.9974618855054,8.18470629167213,15.2629087362471,18.7763436321844,6963.5081875581,260.718543065244,4.37468273568817,10.0669035573528,3.78720904367268,5.45266844239621,10.7684498109247,59.0610687458292,4505.19885699293,239.198754327628,23.327838838285,471.895372646541,11.5156250891192,50.9391023630131,42.184033263559,1122.32571138501,646.255282985507,6.77591015645052
"wallaceERR983266","low methane producing","bovine ",0.219058050383352,0.0807055975096558,13.1492477085375,950.890643915375,6.56021214042774,28.0567245056782,1925.03026459907,18.0895832132357,6.28927192021675,7093.57814031246,1.40081858534617,2.10411022078746,1.51611229607425,1.24517207586326,0.576468553640399,10.987490632386,10.2784343114083,40.5660921196749,56.9320343575258,3.87963336599988,1.21058396264484,246.993716492765,26.9095520839338,50.8041736323284,3.01493053553929,13.5585403816222,1828.79460425434,7030.10318787109,104.594454372514,5.67821525335793,4.73857151092408,2.89963682481121,11.6331354124633,9.01596817893584,69.4644607136681,4203.49916412058,161.007667031763,23.9119156050037,172.813743010319,5.36692223439211,30.9102438461982,55.779097250245,196.097307891855,59.0246152072405,3.06681270536692
