"Family","stewartERR2027890","shiSRR873458","shiSRR873455","stewartERR2027917","shiSRR873463","wallaceERR983265","shiSRR873599","wallaceERR983268","stewartERR2027895","hessSRR094166","stewartERR2027928","stewartERR2027923","shiSRR873457","hessSRR094424","shiSRR873597","shiSRR873452","hessSRR094418","shiSRR873460","stewartERR2027903","stewartERR2027908","shiSRR873602","shiSRR873596","stewartERR2027927","stewartERR2027929","stewartERR2027912","wallaceERR983264","shiSRR873459","shiSRR873606","shiSRR873604","stewartERR2027909","stewartERR2027920","shiSRR873454","shiSRR873462","stewartERR2027889","stewartERR2027916","shiSRR873464","stewartERR2027891","shiSRR873595","stewartERR2027900","hessSRR094416","shiSRR873609","wallaceERR983263","hessSRR094415","stewartERR2027925","shiSRR1222431","stewartERR2027898","stewartERR2027918","shiSRR873456","hessSRR094419","hessSRR094403","shiSRR873598","shiSRR873605","stewartERR2027926","hessSRR094417","stewartERR2027915","stewartERR2027897","shiSRR873607","stewartERR2027924","stewartERR2027902","wallaceERR2027890","shiSRR1222429","wallaceERR2530126","wallaceERR2027889","stewartERR2027899","shiSRR1267595","stewartERR2027919","shiSRR873608","shiSRR873451","hessSRR094428","shiSRR873601","stewartERR2027910","stewartERR2027907","hessSRR094427","shiSRR873610","wallaceERR983269","stewartERR2027921","hessSRR094405","wallaceERR983266","shiSRR873465","stewartERR2027913","wallaceERR983262","stewartERR2027905","shiSRR873461","stewartERR2027911","shiSRR873453","stewartERR2027914","stewartERR2027901","wallaceERR983267","stewartERR2027893","stewartERR2027892","shiSRR873603","stewartERR2027904","stewartERR2027896","stewartERR2027894","wallaceERR2530127","stewartERR2027906","wallaceERR2282092","stewartERR2027930","stewartERR2027922","shiSRR873600","shiSRR873450"
"Asfarviridae",82,3,2,56,4,103,76,29,74,0,65,18,1,12,122,1,0,5,273,23,38,66,61,25,40,40,2,115,52,13,39,2,3,107,30,0,93,56,41,0,62,10,2,22,50,39,53,2,0,0,68,112,19,0,17,127,90,57,23,35,0,3,107,71,96,26,93,0,16,31,29,1,0,65,5,48,0,14,0,30,2,1,0,39,2,18,47,26,158,14,29,13,41,6,1,5,3,43,18,142,0
"Herpesviridae",577,128,77,347,31,334,583,286,300,63,520,246,85,456,1797,41,53,60,208,470,671,642,525,352,559,172,53,656,755,204,506,18,55,580,480,44,450,467,492,58,784,185,58,266,960,404,329,7,21,57,969,1188,356,62,373,800,1076,371,379,292,3,62,580,178,1017,424,682,19,449,596,321,102,20,754,181,378,49,174,21,404,201,261,26,373,37,329,238,223,344,230,175,226,641,144,151,72,325,352,325,1413,18
"Hytrosaviridae",72,1,0,23,1,104,127,16,55,0,72,20,0,11,283,0,0,0,15,13,134,48,20,25,56,0,0,81,62,2,23,0,1,92,24,1,105,60,7,1,67,2,1,58,49,69,39,0,3,0,157,68,19,0,25,183,93,24,17,37,0,0,92,5,114,20,90,0,13,64,32,1,0,121,7,16,1,5,0,31,11,5,0,33,0,19,61,23,64,28,45,9,136,8,0,5,1,44,15,201,0
"Malacoherpesviridae",26,0,3,9,1,9,4,2,17,3,19,5,0,19,67,0,2,0,7,4,17,29,13,7,19,0,0,46,11,1,30,0,1,51,12,2,24,30,3,2,13,1,2,12,8,17,5,0,1,2,22,5,6,1,42,47,57,6,13,13,0,0,51,3,22,4,10,1,16,10,16,0,0,13,5,9,1,3,0,19,8,1,2,10,0,8,11,8,10,6,2,1,50,8,0,1,1,19,7,91,2
"Marseilleviridae",125,2,3,105,0,264,235,94,205,4,133,98,2,70,606,1,1,4,40,78,283,169,76,62,132,102,5,210,168,82,104,0,3,199,91,2,158,128,44,2,193,36,7,90,132,100,98,2,3,4,210,365,65,3,90,268,165,108,91,61,2,4,199,27,162,103,237,1,42,171,74,101,0,207,33,110,3,22,6,115,49,55,6,87,5,78,89,62,71,49,78,95,133,64,13,39,58,139,92,395,0
"Nimaviridae",39,5,2,33,3,97,87,19,70,1,58,58,0,13,177,3,0,2,35,37,51,58,37,22,39,5,2,62,63,23,67,5,8,60,46,0,61,55,31,3,62,18,1,40,70,82,40,0,0,1,83,100,4,2,44,63,78,34,23,16,1,2,60,170,54,16,84,1,29,50,28,5,0,67,9,41,2,3,4,27,16,18,1,35,1,22,34,17,34,12,23,22,76,32,1,4,7,34,33,139,0
"Nudiviridae",320,6,44,93,4,321,154,45,242,9,247,73,0,76,810,1,3,5,113,85,260,521,130,69,193,46,5,431,228,262,187,0,57,375,89,2,347,144,38,3,210,23,6,99,195,96,228,1,1,5,228,147,78,7,81,562,399,106,103,162,2,2,375,90,424,62,294,11,75,111,95,18,7,375,37,76,5,17,3,118,35,34,21,128,7,75,106,92,170,56,119,27,379,72,17,36,19,227,89,845,0
"Papillomaviridae",25,1,3,23,2,10,47,32,47,1,42,35,1,13,67,2,0,6,16,10,28,92,40,67,56,7,1,32,31,7,27,0,2,55,47,1,33,26,25,0,42,17,0,24,38,112,12,2,1,0,21,59,31,0,22,38,57,21,20,10,0,9,55,5,24,29,38,3,14,54,23,146,0,66,5,44,0,4,2,27,12,23,0,16,0,32,25,19,52,22,10,20,62,10,22,4,97,39,18,91,2
"Polydnaviridae",185,2,8,54,2,157,113,16,64,4,88,45,0,41,369,0,3,1,19,51,172,174,59,31,77,9,2,159,86,36,71,0,2,141,58,2,158,86,48,5,126,11,3,101,139,67,71,1,3,2,143,98,41,3,35,219,193,53,51,99,0,1,141,28,81,47,201,0,28,52,55,12,5,232,12,73,2,25,1,77,30,16,2,70,1,51,65,41,77,21,41,9,188,34,3,4,9,86,30,443,0
"Polyomaviridae",33,0,1,15,0,13,16,6,36,1,13,10,0,7,16,0,0,1,5,10,14,22,22,5,27,25,1,33,18,1,7,2,0,58,15,1,36,14,12,1,47,12,1,12,29,35,8,0,0,0,34,33,14,0,21,55,31,8,8,18,0,2,58,4,32,13,43,0,7,18,14,2,0,27,17,3,1,7,0,8,7,9,1,15,0,6,20,6,13,5,16,5,14,6,0,2,0,22,24,42,0
"Sphaerolipoviridae",34,1,1,6,1,0,20,7,2,1,23,12,0,11,12,0,4,5,0,13,2,8,6,12,6,0,2,14,104,1,6,0,4,2,3,1,1,6,0,2,21,2,0,7,30,6,3,1,1,3,3,23,6,2,3,6,17,4,4,15,0,1,2,0,18,6,49,1,15,6,4,2,0,41,0,5,1,1,0,5,1,1,0,6,1,4,1,2,5,8,3,3,5,9,0,0,2,4,4,29,0
