"Family","stewartERR2027890","shiSRR873458","shiSRR873455","stewartERR2027917","shiSRR873463","wallaceERR983265","shiSRR873599","wallaceERR983268","stewartERR2027895","hessSRR094166","stewartERR2027928","stewartERR2027923","shiSRR873457","hessSRR094424","shiSRR873597","shiSRR873452","hessSRR094418","shiSRR873460","stewartERR2027903","stewartERR2027908","shiSRR873602","shiSRR873596","stewartERR2027927","stewartERR2027929","stewartERR2027912","wallaceERR983264","shiSRR873459","shiSRR873606","shiSRR873604","stewartERR2027909","stewartERR2027920","shiSRR873454","shiSRR873462","stewartERR2027889","stewartERR2027916","shiSRR873464","stewartERR2027891","shiSRR873595","stewartERR2027900","hessSRR094416","shiSRR873609","wallaceERR983263","hessSRR094415","stewartERR2027925","shiSRR1222431","stewartERR2027898","stewartERR2027918","shiSRR873456","hessSRR094419","hessSRR094403","shiSRR873598","shiSRR873605","stewartERR2027926","hessSRR094417","stewartERR2027915","stewartERR2027897","shiSRR873607","stewartERR2027924","stewartERR2027902","wallaceERR2027890","shiSRR1222429","wallaceERR2530126","wallaceERR2027889","stewartERR2027899","shiSRR1267595","stewartERR2027919","shiSRR873608","shiSRR873451","hessSRR094428","shiSRR873601","stewartERR2027910","stewartERR2027907","hessSRR094427","shiSRR873610","wallaceERR983269","stewartERR2027921","hessSRR094405","wallaceERR983266","shiSRR873465","stewartERR2027913","wallaceERR983262","stewartERR2027905","shiSRR873461","stewartERR2027911","shiSRR873453","stewartERR2027914","stewartERR2027901","wallaceERR983267","stewartERR2027893","stewartERR2027892","shiSRR873603","stewartERR2027904","stewartERR2027896","stewartERR2027894","wallaceERR2530127","stewartERR2027906","wallaceERR2282092","stewartERR2027930","stewartERR2027922","shiSRR873600","shiSRR873450"
"Acidilobaceae",79,25,16,81,33,47,270,82,91,29,170,94,15,244,283,12,24,35,92,175,193,389,110,90,151,56,39,678,636,97,115,14,16,129,102,49,83,273,85,17,875,118,38,122,1027,88,106,21,16,22,174,504,91,37,91,165,427,97,154,36,0,19,129,29,160,138,439,18,315,579,140,844,27,554,70,130,30,41,79,98,43,42,71,130,27,159,69,79,73,72,74,58,402,75,22,31,127,100,110,369,16
"Caldisphaeraceae",425,11,15,246,9,597,356,184,383,2,435,177,2,104,1864,2,4,21,139,293,712,554,249,218,343,142,8,484,361,99,299,2,47,573,207,15,601,368,234,2,454,130,8,217,316,433,265,1,7,5,642,292,201,2,193,892,490,335,331,200,1,6,573,195,572,185,638,5,101,363,281,256,5,932,112,235,0,93,20,279,158,142,13,309,7,268,261,169,378,245,165,173,566,105,17,85,54,292,121,1132,1
"Desulfurococcaceae",982,219,83,666,84,578,1159,689,484,80,755,541,217,850,2198,137,78,134,427,992,1192,1921,715,634,870,423,138,2249,1710,370,1024,78,106,875,786,83,713,2273,560,77,1674,362,94,649,1605,804,585,180,52,88,1069,1564,576,70,614,1244,1601,808,635,447,5,109,875,413,1243,596,1713,74,832,1916,744,289,53,1812,386,577,84,234,138,612,315,354,184,691,238,684,494,453,692,484,424,391,1175,615,126,270,438,681,550,2218,49
"Pyrodictiaceae",125,60,22,105,34,43,503,118,60,26,193,107,18,261,828,61,29,99,194,139,393,459,187,152,211,267,13,705,665,119,147,76,75,121,179,25,108,476,153,32,1087,123,29,118,607,107,141,31,21,23,1377,615,115,30,150,215,605,295,183,63,5,40,121,148,371,145,486,8,240,642,103,66,18,729,91,165,34,30,57,164,93,71,13,106,28,188,116,129,74,76,139,125,193,62,31,64,134,120,108,858,8
"Fervidicoccaceae",145,5,4,71,3,230,123,113,185,6,147,83,5,75,497,1,4,3,34,122,196,148,102,73,108,138,2,198,128,42,119,0,11,257,96,5,179,102,103,10,189,67,5,83,174,237,113,0,6,6,202,107,66,3,100,342,179,88,62,69,0,39,257,41,110,60,327,3,50,111,73,56,1,292,36,107,5,108,4,94,148,53,6,98,2,90,122,73,104,42,50,183,195,67,30,21,129,131,57,308,0
"Sulfolobaceae",4512,295,356,2012,111,5295,4307,1555,3483,114,3589,1933,175,1690,13651,152,74,216,1701,1661,5344,4536,2195,1689,3428,1184,173,5718,4316,1157,2550,139,474,5921,2438,213,4968,3781,1646,98,5853,1020,120,2099,4603,4926,2277,66,98,109,7494,4282,1756,100,1964,8299,5780,2591,2270,2263,13,206,5921,2143,4336,1686,5570,218,1463,4564,2092,1923,83,6285,895,2102,109,1412,279,2810,1100,923,237,2585,127,2094,2731,1590,2722,1444,1781,1492,5729,1045,402,687,917,3350,1789,10826,124
"Thermofilaceae",148,59,12,120,21,179,1718,128,125,20,181,150,25,224,644,23,20,55,87,157,394,321,182,119,198,80,36,435,553,109,232,54,27,183,175,24,171,326,144,17,741,255,31,132,543,131,143,8,16,20,446,466,137,22,155,294,487,179,188,75,2,50,183,140,334,127,513,17,214,468,130,56,11,698,91,155,22,106,41,160,85,93,23,150,18,159,123,121,106,98,151,90,216,77,63,48,255,108,138,360,14
"Thermoproteaceae",841,308,37,699,95,703,2825,693,536,121,795,735,106,1123,3401,49,128,122,842,796,3801,1600,997,786,974,383,75,1773,2052,815,942,69,63,1000,1110,76,763,1778,672,124,1985,500,150,692,2038,582,613,73,69,118,2294,1941,639,147,715,1367,2003,1010,896,393,10,297,1000,998,1625,773,1980,63,1257,2749,587,431,51,2064,381,984,155,244,105,793,318,859,95,835,142,904,589,537,1033,700,427,796,1397,731,360,291,1477,727,691,2107,39
"Archaeoglobaceae",808,119,408,774,106,836,1753,740,835,140,851,697,86,1546,3734,216,111,95,481,980,2017,1846,937,711,1050,1015,145,2033,2631,798,977,56,384,1002,1283,114,723,1738,425,151,2163,662,135,797,2475,1379,638,76,80,131,2987,2124,742,151,789,1485,2363,821,862,406,14,463,1002,1645,1461,819,2359,128,1516,1418,841,656,87,2421,623,703,132,376,118,882,465,928,195,853,146,906,976,671,828,1100,585,920,1488,914,547,781,1524,829,766,2220,52
"Haloarculaceae",2276,661,283,2813,383,855,7366,3028,2337,656,2981,2799,372,5089,9141,306,753,480,2076,3325,5815,6058,3745,3277,4085,2984,332,6523,7708,3080,3769,279,410,3073,4019,355,2073,6264,2987,696,8111,2211,710,2651,9079,2687,2449,307,289,642,4146,8056,2665,746,3104,3236,9457,3327,3277,1039,46,2340,3073,2318,5218,3724,8532,317,5700,7436,2576,2224,292,6293,2130,3654,700,921,446,3122,1194,2807,498,2889,535,3937,2350,2113,2172,2763,2482,3294,4280,2988,1413,2314,6456,2647,3192,9590,188
"Halobacteriaceae",1360,229,91,1686,170,432,3143,1374,1178,399,1944,1302,168,2725,5986,102,370,266,1082,1670,2821,3611,2286,1570,2305,1154,242,4394,5107,1336,2195,125,155,1582,2231,195,1083,4599,1351,398,5950,996,421,1400,6510,1145,1558,86,167,364,2835,4889,1727,439,1581,1808,4797,2199,1948,622,22,1122,1582,1134,2645,2145,4220,104,3200,4809,1420,827,164,4182,1110,2038,401,730,235,1813,596,1067,261,1566,304,2397,1210,1244,1383,1891,1055,1606,2531,1957,718,1405,2740,1299,1881,3953,103
"Haloferacaceae",1979,326,185,2258,227,926,4818,1873,1634,477,2701,1853,274,3618,5414,334,496,313,1669,2857,7407,4475,3030,2272,3068,2190,261,5443,5759,1652,3215,214,270,2322,3012,217,1906,4936,1942,464,6864,1565,539,2103,7219,2018,1980,177,221,454,4621,5795,2034,489,2139,2652,5405,3067,2521,957,43,1345,2322,2087,3418,2928,5881,216,3970,5978,2208,1510,225,5438,1542,2914,507,884,338,2418,856,1593,350,2117,677,3243,1753,1748,2182,1858,1523,1716,3575,1556,848,2215,4266,1722,2424,5374,155
"Halorubraceae",1508,310,178,1987,176,489,3759,1588,1650,554,2300,1796,244,3647,4711,156,539,300,1551,2619,3288,3887,2720,1935,2526,2201,187,4068,5092,1744,2655,166,201,2086,2786,251,1740,5393,1603,505,6177,1331,584,1758,7015,1555,1699,156,153,511,3431,5350,2051,602,1796,2180,4852,2166,2427,690,34,1129,2086,3254,2800,2698,4909,171,4314,4820,2004,1255,228,4772,1372,2523,537,492,330,2178,785,2658,243,2066,409,2754,2270,1497,1573,2774,1314,3072,2881,3082,1408,2325,5411,1500,2191,4767,161
"Natrialbaceae",4018,710,304,5025,523,1338,9486,3906,4019,1100,5370,4422,563,8228,11659,632,1091,753,3888,5710,7769,10033,6567,5188,6763,4543,557,10337,12705,4984,6630,395,609,4728,6443,723,3597,11281,3513,1125,15290,3035,1209,4330,16460,3457,4282,434,378,1165,7755,12572,4668,1191,4606,5369,11679,5453,5335,1854,76,2718,4728,5538,7971,6364,12281,576,9340,11367,4363,3267,476,11537,3299,6084,1164,1482,771,5312,1815,6321,704,4563,997,6690,4065,3579,3761,6240,2880,5448,7584,5879,2557,5015,11221,3739,5328,11014,431
"Methanobacteriaceae",173585,30581,18960,569522,5592,784399,189502,581321,129220,10845,666557,365638,2252,173465,615475,2210,10337,7217,205482,583698,262633,189389,517327,417430,691855,96863,21749,135051,408266,286467,805157,1084,27810,301000,631920,11624,213121,282330,159326,10520,407959,244733,14439,575864,270291,283426,670351,2424,24318,10598,218058,385042,418733,11027,569631,738430,556152,1137174,677559,83442,1243,2683,301000,152530,87399,434195,293877,5761,129121,436462,381697,294439,16966,372345,546907,319430,11149,141879,14512,635456,116702,327459,39912,565885,3221,528682,305910,440044,211420,180128,90380,138004,333446,121684,7022,158788,208793,252483,326278,543366,2404
"Methanothermaceae",452,20,37,748,10,1040,677,715,289,15,1046,363,2,304,1678,4,17,12,293,595,675,663,866,516,1086,164,7,478,678,361,956,2,29,632,711,8,563,765,188,11,800,267,16,884,531,320,1121,0,19,15,774,869,659,16,675,1289,1091,1425,960,241,1,4,632,98,393,483,697,10,207,835,443,71,17,1064,595,343,7,174,17,800,218,128,46,696,7,594,376,632,472,214,209,133,593,156,20,122,71,544,431,1410,5
"Methanocaldococcaceae",2476,139,241,1986,96,4733,3394,1631,2394,49,3052,1532,136,1100,10431,56,46,97,1259,2001,5445,3154,2043,1429,3016,1480,102,3395,3328,1415,2577,28,244,3543,2120,85,3124,2888,1616,48,3920,1053,72,1948,3631,2765,2492,27,65,56,4874,3373,1445,57,1940,5585,4543,3264,2361,1203,19,82,3543,2692,2902,1440,4151,39,729,3384,1875,1666,35,5041,1494,1536,59,748,89,2340,1307,1580,150,2309,62,1970,2405,1552,2246,1912,1529,1740,3324,1692,726,1009,763,2280,1398,7467,29
"Methanococcaceae",3711,206,209,3595,86,8248,5617,2729,3253,123,4568,2591,71,2023,16297,65,97,99,2355,3363,8285,6695,3482,2810,4739,1745,221,3569,4511,2035,4711,43,210,5412,3866,210,4431,9441,2496,102,5417,2489,137,3637,4229,5692,4076,68,122,102,11280,5590,2757,90,3327,7835,6534,6154,4297,1806,25,196,5412,2425,5030,2448,6031,105,1584,9017,2672,2302,74,6929,2367,2772,98,1509,184,4087,1929,1709,118,3362,53,3494,3170,2532,2930,1886,2109,2414,4938,1543,383,1622,1404,3317,2556,11873,88
"Methanocellaceae",891,161,66,1105,139,446,1865,1019,706,312,1173,967,128,2775,3015,76,317,134,686,1083,1957,1851,1250,1264,1557,1026,125,2098,2757,842,1481,78,142,1301,1444,94,837,2978,821,287,3893,866,342,872,3520,965,757,91,162,270,2064,2721,871,310,1086,1307,3262,1135,1171,430,19,581,1301,830,1471,1428,3403,73,2864,2816,1031,1396,188,2490,752,1400,283,361,148,1148,362,639,122,1069,186,1374,781,870,730,1108,691,915,1730,1347,612,984,2205,887,1177,2626,78
"Methanocorpusculaceae",328,64,25,320,30,457,914,588,216,77,422,372,47,1446,1484,30,80,44,360,381,752,768,430,492,535,697,46,660,1156,265,486,37,36,293,526,24,222,1078,384,77,955,369,91,319,941,396,303,11,85,111,531,864,318,79,443,354,869,337,302,138,12,834,293,908,396,472,683,46,1328,834,353,426,69,520,295,420,83,854,43,446,399,476,40,407,92,386,364,342,238,233,196,559,442,288,370,470,1108,282,358,732,25
"Methanomicrobiaceae",1660,311,187,1678,275,1055,3930,1891,1542,764,2105,1621,224,13083,5569,302,768,370,1295,1897,3760,3850,2419,1880,2467,1577,335,5055,5627,3244,2385,168,288,1994,2408,280,1542,5885,1475,727,6162,1788,848,1691,6430,2146,1515,169,1006,737,4421,5696,1688,796,1861,2361,5319,2047,2156,804,39,1550,1994,1633,2477,2322,5840,241,11870,5206,1769,2161,906,5009,1510,2307,783,871,391,2072,1034,1185,410,1927,411,2387,1769,1599,1493,1686,1205,2739,3162,1357,973,1987,4339,1642,1915,5188,216
"Methanoregulaceae",895,231,63,1153,147,785,3126,1128,867,321,1143,1085,106,3729,3919,151,301,187,862,1271,2565,2515,1388,1192,1429,1360,205,2012,3547,959,1479,119,146,1282,1596,151,754,3162,918,302,3414,1050,300,896,3522,1397,854,69,212,290,2883,3341,945,316,984,1123,3606,1253,1396,441,23,640,1282,1159,2220,1345,3089,92,3530,3711,1205,763,249,2326,867,1368,285,572,142,1343,750,954,130,1181,261,1499,863,905,651,1055,945,1110,1988,1018,863,876,2857,996,1123,2599,123
"Methanospirillaceae",242,25,7,263,20,125,632,206,164,30,214,257,43,480,628,38,43,44,482,309,615,288,220,244,249,134,57,473,752,128,254,12,27,242,283,12,126,439,149,35,717,117,35,183,490,141,166,18,36,32,444,723,156,24,190,364,562,389,248,124,3,71,242,57,251,220,545,5,396,630,190,48,18,723,148,215,29,141,80,232,62,66,65,306,47,221,131,160,295,99,126,86,269,96,124,37,337,243,153,543,10
"Methanosaetaceae",669,177,62,741,158,540,1682,681,498,152,811,746,114,1555,2101,95,152,99,885,839,1491,1613,926,836,1064,633,141,1466,1973,951,1036,83,106,681,1004,89,637,1543,633,163,2481,639,154,667,2607,705,660,73,76,162,1426,2367,649,156,774,813,2181,842,842,338,9,228,681,427,828,912,2203,94,1629,2436,643,745,90,1683,556,951,161,281,195,820,596,609,162,929,190,968,533,610,739,516,390,861,1233,572,334,692,1085,593,900,1696,93
"Methanosarcinaceae",6889,906,1784,5539,593,10492,14827,5056,5900,759,7572,5425,889,10582,27379,470,753,593,5337,6056,20863,15801,6155,5823,8077,4733,739,13373,15928,5758,7651,320,1274,8680,7430,651,6459,14933,5239,766,16582,3968,873,5239,15682,7414,5330,295,1288,700,14574,14652,5091,770,5569,10757,17612,7623,5951,3387,93,2711,8680,7545,12016,6038,17189,552,9208,16273,5546,6616,1035,15718,3987,6030,792,3851,718,6937,3717,4902,776,5787,750,6423,6270,4924,5684,4881,4495,6614,10291,4866,3838,4479,7878,6258,5268,21134,310
"Methanopyraceae",137,25,24,165,19,67,205,166,76,48,162,139,23,359,567,11,54,39,47,153,328,281,179,209,217,98,18,251,334,94,146,20,24,153,162,24,95,290,61,31,501,99,45,136,530,69,119,48,22,40,222,475,135,46,161,131,342,131,155,71,1,82,153,101,181,217,393,28,353,451,100,38,18,286,136,158,34,82,24,169,82,122,18,145,26,195,79,122,44,68,65,148,195,54,42,59,204,123,154,400,14
"Thermococcaceae",4006,1088,648,4160,868,3996,13783,4083,4028,772,4811,4656,1031,7676,17679,819,770,971,3385,4793,14300,11996,5179,4574,5882,4832,1150,11029,14543,4510,5876,667,917,4827,6013,869,3379,12523,4755,768,15356,4215,847,3780,15338,6852,3565,548,396,802,11130,14152,4050,771,4553,5507,14488,4921,4969,1921,77,2948,4827,5785,10268,5049,15091,733,7767,13372,4557,4426,429,13170,3048,5687,807,2302,1167,4807,2616,5397,983,4388,1167,5354,4141,3514,4159,5272,3568,6219,7191,5587,2838,3970,9739,3876,4173,14452,521
"Methanomassiliicoccaceae",1742,1723,287,1538,2716,1319,9869,2078,1642,1147,2162,1636,360,20468,8470,375,1119,1506,1716,3587,7382,4673,2260,1551,1972,3553,1199,6882,11398,1650,2413,629,1122,2201,2180,1146,2251,3938,2848,1114,8357,1931,1299,1251,10627,2017,1534,263,1714,1133,4519,9608,1482,1192,1679,2307,10711,2099,1628,830,31,2513,2201,2667,4095,2429,17256,302,18658,5085,2328,2982,1582,11774,1771,1654,1119,645,1543,1917,1654,2059,995,2294,573,1846,2647,1927,2265,4743,2672,2284,4088,3784,1667,2174,6045,1819,1661,5097,206
"Cuniculiplasmataceae",238,10,15,108,29,187,293,102,200,16,203,134,0,206,883,10,10,11,80,233,326,1199,140,194,162,138,2,300,259,85,260,3,29,274,134,5,193,1034,44,14,272,63,19,128,236,152,108,5,9,13,599,554,131,13,131,341,1078,156,134,125,0,15,274,46,428,162,334,103,164,574,121,22,5,317,76,281,12,67,11,171,54,58,29,121,8,138,80,121,106,88,94,34,309,55,16,63,80,155,122,602,6
"Ferroplasmaceae",411,22,6,186,66,479,651,200,338,19,333,247,7,196,1260,1,16,9,220,133,494,310,245,164,272,122,14,486,378,103,220,13,24,501,256,3,418,272,165,15,338,114,6,197,279,304,226,5,13,11,765,269,196,10,189,764,425,285,234,215,1,14,501,418,358,166,820,2,157,285,174,396,11,386,129,239,18,85,18,376,129,227,11,288,14,177,229,185,285,185,151,346,423,133,52,66,147,285,145,815,1
"Picrophilaceae",325,24,9,104,10,278,289,75,241,8,214,127,9,185,1048,16,7,6,91,141,345,502,110,137,160,30,1,287,248,100,138,14,11,277,131,15,276,264,67,8,400,81,9,139,360,186,131,5,9,14,629,314,74,11,117,520,313,110,74,154,4,30,277,208,269,105,581,131,161,289,180,85,5,417,54,136,6,109,17,121,42,51,14,129,20,101,159,70,206,94,137,65,281,38,11,44,45,206,108,708,8
"Thermoplasmataceae",183,53,8,89,9,118,431,86,128,22,195,70,20,228,695,5,11,11,49,124,342,544,78,73,166,110,13,352,351,79,125,14,31,217,141,9,176,285,64,13,411,61,25,89,335,137,100,6,20,18,412,643,60,13,68,261,577,97,147,88,3,42,217,459,252,100,548,17,225,211,96,77,11,472,79,90,15,49,29,139,47,93,32,169,3,115,75,87,79,132,162,111,305,76,105,31,231,144,89,560,10
"Nitrosopumilaceae",1414,68,144,1037,53,1997,1676,786,1157,43,1429,849,25,785,4881,36,34,26,695,854,2269,1856,992,768,1494,632,75,2123,1384,516,1351,12,124,1823,1096,39,1530,1399,775,48,1866,484,58,987,1376,1181,1147,12,38,35,2495,1580,844,31,869,2722,2217,1616,1072,728,8,55,1823,1527,1791,677,2099,32,614,1607,794,1395,33,2377,531,854,32,516,69,1060,529,667,71,1184,34,940,1074,676,1064,588,630,738,1487,396,194,992,541,1058,630,3213,23
"Candidatus Nitrosocaldaceae",66,2,2,81,4,118,182,49,88,5,59,34,28,76,312,7,11,2,115,86,144,156,100,24,74,41,1,95,78,50,79,2,5,117,39,3,76,75,98,5,169,75,7,133,133,51,53,1,12,5,188,96,29,4,35,105,80,57,53,27,1,17,117,27,61,37,117,2,80,122,37,38,4,160,23,50,3,21,13,48,33,56,2,26,10,38,68,40,44,82,27,92,63,30,16,86,24,45,72,199,1
"Nitrososphaeraceae",1088,213,255,677,65,1199,2164,565,1005,106,1037,785,77,962,6439,66,60,88,562,787,2324,2107,799,645,1044,1112,77,2127,1905,488,929,70,108,1399,843,63,1108,1798,851,70,2495,364,90,821,1949,1240,784,67,49,85,1957,1966,588,87,722,2061,2244,892,872,537,9,283,1399,1225,1277,620,2299,70,898,2126,734,712,39,2165,387,652,77,268,105,887,547,1135,125,925,114,789,1157,578,1104,1017,774,1130,1512,1062,449,806,911,976,613,4705,20
"Vicinamibacteraceae",1544,438,161,1896,345,483,4364,1447,1220,428,2137,1328,300,3524,6212,320,460,472,934,2070,6252,3965,2799,1713,2460,966,289,4406,5606,1691,2309,237,277,1832,2450,336,1571,5327,1553,429,5395,1075,463,1627,6215,1215,1718,298,242,458,4469,5397,1856,432,1573,2314,4823,2109,2214,707,44,1218,1832,1281,2857,2243,6605,271,3918,5741,1546,1494,209,4037,1395,2222,397,584,335,1994,633,1047,432,1513,547,2699,938,1507,1372,1540,1440,1509,2771,1309,1270,1022,3640,1313,2127,4792,241
"Acidobacteriaceae",7137,2955,1416,8054,1780,3293,23070,8279,7057,1939,9007,7649,2500,17573,27734,2198,1987,2666,7128,10384,22199,22613,10485,8561,10868,10178,1982,24347,27691,9247,11164,1412,1745,8260,10944,2022,6276,25287,8032,1963,30411,6588,2152,6859,30864,9020,6957,1728,1035,1978,21347,27522,7777,2018,8591,8710,26944,9911,9212,3379,152,6394,8260,8804,17813,9884,27830,1453,18589,24898,7819,7590,1076,24979,6344,10680,1885,3407,2938,8357,4426,9176,2690,7837,3635,10845,7787,6787,6757,9038,7106,10316,13745,9098,6535,8715,18988,7181,8767,29869,1200
"Solibacteraceae",1699,355,244,1713,254,545,3952,1645,1082,515,1944,1523,230,4060,6558,192,459,362,1569,1938,2866,4228,2422,1830,2282,1582,320,4312,5361,1595,2372,219,271,1939,2486,276,1323,5086,1438,499,4958,1138,506,1493,5958,1715,1435,230,252,446,3377,5113,1629,522,1692,1960,4635,2413,2158,801,34,628,1939,1651,3500,2207,5021,192,4549,4938,1467,1485,270,4355,1270,2173,456,533,340,1919,887,1394,304,1867,533,2307,1144,1325,1426,1356,1462,1745,2204,1330,691,796,2567,1523,1993,5707,167
"Acidimicrobiaceae",299,122,40,392,73,131,812,285,257,95,346,266,40,839,706,82,101,75,263,385,532,796,486,327,405,356,41,654,907,187,406,58,73,344,488,49,322,593,382,92,1097,305,98,272,1027,371,277,57,60,105,615,1021,255,111,306,452,881,375,360,131,4,260,344,431,334,370,1548,53,1028,987,302,268,76,1013,248,354,105,114,104,393,216,256,45,252,67,475,215,314,222,417,266,322,460,652,245,429,893,293,344,937,33
"Acidothermaceae",343,118,101,357,65,181,679,391,434,89,417,342,148,737,1186,127,84,151,234,378,636,1104,525,390,426,917,85,841,1136,636,474,45,60,355,473,115,299,981,356,104,1147,357,94,255,1398,245,253,228,33,74,964,1124,356,84,363,477,1044,359,448,169,6,235,355,581,742,428,958,255,870,1629,367,209,49,1031,293,534,91,137,130,425,241,925,92,431,168,517,602,320,260,819,283,875,499,979,354,423,1078,356,452,1066,176
"Actinomycetaceae",15947,6371,2810,19941,4352,6602,45857,18965,16922,4932,21318,18009,5486,39660,60531,3353,4709,5534,16968,21596,46894,41435,24721,23958,27095,23071,4072,41623,55881,18386,26269,4753,3983,20221,27681,5135,13134,49669,18353,4922,71133,17745,5164,17267,76386,16933,15515,3539,2702,4772,37978,56372,18922,5207,21424,20565,56173,23240,21876,7340,355,15257,20221,19292,28764,25559,57115,3576,42685,58773,19756,17695,2916,43264,14840,27043,4953,8575,5674,20978,9559,22509,5252,20563,7846,26578,18236,15394,16205,20349,12694,23225,31265,23536,12889,20314,65058,16500,22093,48544,2937
"Actinopolysporaceae",566,113,35,603,80,127,1385,544,597,232,662,562,88,1228,1686,55,222,90,322,715,894,1112,800,678,821,580,76,1105,1659,497,743,60,63,664,868,68,496,1236,439,236,2473,444,219,546,2313,459,426,84,68,217,937,1600,679,278,590,775,1929,653,630,273,13,480,664,691,817,856,1937,30,1402,1554,643,834,89,1504,499,817,227,222,137,693,126,899,111,545,145,915,620,532,382,973,403,710,951,1152,284,538,1316,558,730,1232,36
"Bifidobacteriaceae",112650,8516,3973,42031,5558,18134,76689,40809,41413,7282,44867,107423,6962,60660,111233,5634,7014,7228,973332,74043,79492,209801,42901,763594,43798,48040,5258,60631,88992,1071337,74770,4773,5468,47183,53991,5736,24350,107491,38190,7108,109089,36300,7606,82186,114794,48308,27329,4156,4440,7043,67130,90372,30959,7370,117842,55390,95860,49566,161397,50471,580,48895,47183,47368,44864,42933,90551,7473,65089,97228,39965,40725,4851,70367,30767,350668,7035,75074,7925,40982,65962,39904,6648,47004,10967,43449,38177,27062,35313,41986,21204,53768,161748,45683,44570,47464,388092,92480,56409,108725,4892
"Candidatus Nanopelagicaceae",1721,475,195,1411,365,1321,4733,1809,1206,186,1555,1524,488,2773,6516,209,174,422,1372,1643,4599,3470,1849,1554,1869,1786,295,3718,3781,1111,1825,157,323,1737,1959,266,1376,4064,1219,172,4366,1380,220,1650,3746,2042,1311,184,174,184,3223,3628,1476,168,1419,1841,3784,2065,1909,802,24,755,1737,2597,3315,1539,4830,207,2295,4163,1491,1425,166,5539,1136,1892,172,1296,578,1696,958,1383,418,1540,684,1806,1011,1325,1629,1442,1076,1393,2465,1523,1147,1062,1894,1489,1488,4898,165
"Catenulisporaceae",1332,300,90,1456,180,317,3362,1046,1164,404,1745,1376,218,2567,3322,133,398,255,866,1331,2289,2492,2005,1536,2023,1475,163,2502,3535,820,2065,186,156,1490,2056,177,1130,2766,1175,395,4697,1171,402,1138,5231,837,1134,122,122,393,2438,3848,1416,386,1472,1693,3848,1423,1756,652,19,443,1490,686,1799,1905,4150,123,3056,3377,1402,618,168,2784,1052,1872,358,578,179,1495,381,1116,204,1612,226,2123,797,1057,1102,1330,1025,1039,1886,1308,512,954,2165,1192,1733,2543,118
"Corynebacteriaceae",33095,13479,5724,34242,8108,12721,91550,34147,29525,8250,40444,34014,11421,63894,103301,8589,8022,10758,32532,43003,88211,79474,47427,39972,44952,35589,8473,77113,99832,36854,44533,7287,8494,38586,52168,11703,26263,97151,32168,8172,115793,28514,8703,29906,122487,34515,28292,6243,3922,7910,69385,98683,34536,8338,35582,36285,97397,44718,40767,15648,559,27987,38586,36520,54952,46539,96215,6541,68276,99976,42266,27951,4162,82091,27172,44838,8148,16299,11766,40859,17065,37264,11029,38274,16063,46816,31186,28017,31276,44145,23983,44935,66889,40476,23490,33725,89568,31043,37719,96596,6240
"Dietziaceae",1885,483,236,2408,282,694,4911,1943,1944,743,3244,2071,331,4424,6086,250,669,483,1679,2719,4476,4450,3737,2292,3029,1957,366,5058,6633,2455,2908,253,275,2432,3032,369,1945,5665,2030,676,6597,2086,770,2081,7245,1992,2161,205,276,652,4183,6458,2252,728,2386,2551,5546,2763,2785,899,44,1360,2432,1962,3271,3058,5701,255,4903,6089,2541,1656,280,4480,2083,3031,710,816,441,2566,730,1904,429,2412,550,3096,2281,1914,1783,2501,1687,2722,4164,2687,885,2444,4825,1813,2642,7082,246
"Gordoniaceae",4664,1505,862,5594,974,1424,12874,4644,4863,1284,6080,5353,1211,8969,12221,655,1291,1365,4481,6454,11151,10420,7005,6106,7329,6189,842,12217,15274,5945,7353,818,959,5477,7583,985,4358,12457,4664,1253,19158,4340,1366,4932,20503,4682,4652,768,460,1363,10424,16392,5026,1378,5545,6320,16065,6209,7172,2231,86,3540,5477,5935,8297,7258,14694,652,9830,15995,5424,3622,486,14200,4335,7101,1249,1736,1648,5967,2614,7270,1130,5720,1666,7896,4937,4330,4304,7701,4040,7253,8522,8265,3594,6163,15767,4604,6060,13999,590
"Mycobacteriaceae",22374,6720,3057,26541,4508,7993,59455,22820,20311,6414,29510,24467,5470,44259,72288,3829,6265,6226,18291,30375,66508,54085,35774,29168,34678,23818,4568,59553,76634,23204,35442,3479,4206,27489,37654,5187,19847,61949,25070,6418,91725,19604,6646,22958,98646,23465,22599,3312,2100,6115,46214,76385,26619,6633,26895,29582,72723,30734,31901,10496,422,16816,27489,22256,42040,34648,74141,3894,48086,72093,25293,19900,2410,59557,22224,35301,6417,10670,6350,29467,10638,27395,6334,27141,7481,36319,20736,21004,20562,29226,17796,26010,41655,29314,14242,24895,59839,23898,29103,65759,3186
"Nocardiaceae",17616,4437,2155,19832,2750,5754,39574,16730,14676,4935,21645,17451,3560,33675,49626,2575,5022,5623,13846,22178,39497,38640,26470,21553,26630,16434,4587,43740,55210,16090,25763,2253,3468,19969,27207,5404,15347,44283,16236,5007,65039,14510,5124,16931,70767,14404,16183,2447,1730,4851,34336,53534,19227,5206,19104,21842,52679,22162,23331,8291,307,12339,19969,15402,31758,26234,53733,2737,36772,49669,18648,14319,1908,46388,14134,25764,4820,6216,5196,21677,6944,16547,6294,19946,4560,27148,14541,15552,13908,19518,12485,18909,31073,20145,10385,17009,60904,16100,22457,72157,1979
