"Class","stewartERR2027890","shiSRR873458","shiSRR873455","stewartERR2027917","shiSRR873463","wallaceERR983265","shiSRR873599","wallaceERR983268","stewartERR2027895","hessSRR094166","stewartERR2027928","stewartERR2027923","shiSRR873457","hessSRR094424","shiSRR873597","shiSRR873452","hessSRR094418","shiSRR873460","stewartERR2027903","stewartERR2027908","shiSRR873602","shiSRR873596","stewartERR2027927","stewartERR2027929","stewartERR2027912","wallaceERR983264","shiSRR873459","shiSRR873606","shiSRR873604","stewartERR2027909","stewartERR2027920","shiSRR873454","shiSRR873462","stewartERR2027889","stewartERR2027916","shiSRR873464","stewartERR2027891","shiSRR873595","stewartERR2027900","hessSRR094416","shiSRR873609","wallaceERR983263","hessSRR094415","stewartERR2027925","shiSRR1222431","stewartERR2027898","stewartERR2027918","shiSRR873456","hessSRR094419","hessSRR094403","shiSRR873598","shiSRR873605","stewartERR2027926","hessSRR094417","stewartERR2027915","stewartERR2027897","shiSRR873607","stewartERR2027924","stewartERR2027902","wallaceERR2027890","shiSRR1222429","wallaceERR2530126","wallaceERR2027889","stewartERR2027899","shiSRR1267595","stewartERR2027919","shiSRR873608","shiSRR873451","hessSRR094428","shiSRR873601","stewartERR2027910","stewartERR2027907","hessSRR094427","shiSRR873610","wallaceERR983269","stewartERR2027921","hessSRR094405","wallaceERR983266","shiSRR873465","stewartERR2027913","wallaceERR983262","stewartERR2027905","shiSRR873461","stewartERR2027911","shiSRR873453","stewartERR2027914","stewartERR2027901","wallaceERR983267","stewartERR2027893","stewartERR2027892","shiSRR873603","stewartERR2027904","stewartERR2027896","stewartERR2027894","wallaceERR2530127","stewartERR2027906","wallaceERR2282092","stewartERR2027930","stewartERR2027922","shiSRR873600","shiSRR873450"
"Negativicutes",87443,44462,253379,68788,18204,121825,422799,114752,152087,9994,81672,78268,45471,88202,570742,129803,9488,38674,199949,83301,341038,3112085,110184,94695,107548,591197,83783,319716,637392,92970,105759,36387,45674,75077,107349,62929,48016,3182990,249344,9709,305117,141402,10720,59751,342817,185159,60157,26483,5710,9818,913241,266955,64891,10216,75065,86453,346866,100748,93370,40711,3596,153807,75077,495510,277200,83396,222259,257110,89291,407023,84674,288889,5767,352812,55102,87622,9799,101979,56809,99042,262880,296857,61634,70792,94163,126943,303879,70152,114632,323181,78243,426545,141119,364052,187776,450536,931970,101802,68628,2603127,250020
"Tissierellia",14923,4481,2084,13711,2654,17902,38084,13017,14361,1721,15646,14249,2466,21474,67806,2111,1694,3101,10761,13806,36230,36203,14642,16495,18616,18946,2124,28434,30761,16523,17091,1879,3087,21576,20647,2977,13603,38296,14533,1696,36625,12687,1939,11558,34368,32622,9923,1603,1465,1681,36433,36058,11226,1718,14932,20587,37258,15946,14182,7205,153,5157,21576,35927,23076,15637,45726,2444,19555,41922,13774,31528,1270,44329,9895,18602,1691,11385,3799,17115,13202,15343,2588,14408,3777,15845,14438,12032,12362,13570,11576,17146,25511,13428,8218,10015,25221,14603,13993,48809,1329
"Fusobacteriia",32935,3653,3895,20230,1762,45711,53954,14457,28988,861,28382,18748,1800,20094,132765,2150,862,2165,14417,17789,60886,48337,20326,19396,29027,20080,2070,47468,37129,14141,24240,1479,4490,46582,26777,2209,35025,49082,20056,843,43338,12462,1082,18623,35639,70955,18225,737,1376,838,58357,42458,15174,866,19045,54971,50426,20165,18684,16040,173,2231,46582,47158,38803,18886,59802,2017,15879,50099,19613,45537,958,70059,10026,24271,885,18144,2829,25960,15136,15995,3430,22197,2459,21518,22432,15884,26050,19578,18965,16876,45266,16284,4655,7774,10969,28505,17612,91676,1538
"Gemmatimonadetes",3035,891,399,3740,579,767,8213,2814,3176,976,3966,3149,882,8020,9068,819,995,838,2164,3778,8089,8217,5123,3472,4702,3408,718,10052,10844,4735,4734,391,525,3690,4798,584,3123,9685,3375,1017,11931,2443,1040,3203,13374,2868,3100,587,527,964,7839,10461,3346,1029,3007,4307,9300,4060,4459,1356,74,3906,3690,4713,6815,4424,10588,495,9041,11169,3105,2236,596,9991,2621,4133,944,985,1123,3778,1358,4094,821,3338,936,5020,3352,2985,2342,4199,2977,4021,5879,4119,2480,5331,8571,2849,3841,9674,418
"Ignavibacteria",1610,392,180,1277,219,1765,5004,1434,1002,193,1669,1235,342,3003,5785,286,202,357,805,1455,3526,3547,1522,1235,1722,1174,347,3469,3711,860,1778,263,184,1975,1871,416,1547,4966,1364,175,3776,1408,201,1201,3980,3390,1172,229,184,179,4310,3945,1057,196,1253,2297,3479,1308,1457,750,21,626,1975,1484,3146,1429,4735,133,2841,3814,1307,3962,154,5398,928,1467,196,822,464,1618,1048,971,284,1456,300,1530,1128,1247,1378,1069,1460,1393,3187,1094,739,955,1394,1436,1313,5928,134
"Kiritimatiellae",1808,716,265,2133,369,664,4383,1517,1124,584,2748,1458,295,5272,3244,257,611,687,735,2314,2102,3016,3450,1566,2739,1072,526,4968,5888,1160,2727,251,308,1943,2389,881,2019,3624,1407,532,4754,1178,566,1983,6293,816,2029,207,298,586,2493,5309,1927,561,1434,2669,4214,2213,2774,815,35,588,1943,1694,2526,2667,4788,293,5681,3876,1339,851,348,5940,1637,2137,548,503,690,2244,578,1186,675,1574,391,2907,782,1788,1128,1257,1959,1008,2821,1434,510,967,2190,1406,2377,4469,237
"Lentisphaeria",5485,1680,599,5565,1039,956,8864,5558,2694,3032,7840,4321,1043,30120,8827,744,2909,1359,2341,7085,9335,7520,10555,4347,7624,7512,1065,13351,15080,3922,8241,687,905,5547,7321,925,6671,9908,2923,2983,13397,5892,3019,5169,17418,3195,6325,758,2514,2840,7126,14487,5343,3088,4132,8385,12801,6588,10840,2594,84,3296,5547,2673,6544,8037,14918,871,33437,11404,4343,2777,2673,14457,5963,5647,2928,2018,1467,8048,4609,2564,1300,5017,2437,9621,1931,6825,4177,2944,4923,3859,9032,2842,1734,2502,8030,4047,7267,9735,735
"Nitrospira",3194,841,320,3308,444,1888,9184,3555,2367,708,3738,3135,550,7314,10559,576,711,822,1989,4069,8634,8063,4223,3704,4442,4514,612,7952,9345,2294,4235,527,559,3667,4766,790,2627,8927,3206,687,11705,3112,759,2980,11098,3178,2590,406,452,748,7732,9902,3080,728,3330,3980,8832,3689,3826,1477,54,2725,3667,5673,6412,4232,9054,503,7440,10634,3409,4252,427,8218,2759,3987,687,1564,831,3894,1967,3428,723,3421,989,4320,2924,3116,3094,3921,2713,2816,4940,3729,2017,3476,7012,2960,3583,10138,319
"Phycisphaerae",4036,1455,556,4339,986,1813,11375,3908,3621,1004,4765,4203,893,9692,14819,1263,945,1219,3953,5225,9978,11074,6216,4272,5448,3541,1164,12205,12875,4229,5759,710,877,4805,5875,1157,3844,11099,4921,1008,15483,3383,1108,3640,15858,5407,3580,640,616,1027,11724,13533,4052,1117,3960,5293,12943,4996,5573,1956,62,2352,4805,4848,7908,5345,14360,776,10047,11957,4130,5630,603,12115,3393,5449,1106,2463,1068,4941,1989,4343,1472,4226,1360,6240,3194,3793,3679,4198,3622,4524,8504,3890,2011,3719,7662,3559,4796,13325,656
"Planctomycetia",18632,5686,2307,20496,3040,6851,52070,19746,14630,5452,25613,17639,4353,48372,61044,3618,5425,4540,15058,24908,46299,47279,29628,20207,28076,16903,3483,51941,59394,17111,27993,2556,3141,21475,27689,3484,17812,46938,17493,5459,61888,15312,5915,19320,70587,17578,19311,2904,2822,5341,41759,57422,20676,5737,18854,24614,55539,24830,25849,8512,331,10865,21475,17321,37906,26195,62576,2771,52506,59541,18650,14839,3055,51022,16521,24990,5447,7961,4900,23195,8294,17519,4380,19515,5759,28085,14239,17770,17536,18855,17131,17994,34565,20037,12301,17238,37693,16923,23036,60268,1929
