"Order","stewartERR2027890","shiSRR873458","shiSRR873455","stewartERR2027917","shiSRR873463","wallaceERR983265","shiSRR873599","wallaceERR983268","stewartERR2027895","hessSRR094166","stewartERR2027928","stewartERR2027923","shiSRR873457","hessSRR094424","shiSRR873597","shiSRR873452","hessSRR094418","shiSRR873460","stewartERR2027903","stewartERR2027908","shiSRR873602","shiSRR873596","stewartERR2027927","stewartERR2027929","stewartERR2027912","wallaceERR983264","shiSRR873459","shiSRR873606","shiSRR873604","stewartERR2027909","stewartERR2027920","shiSRR873454","shiSRR873462","stewartERR2027889","stewartERR2027916","shiSRR873464","stewartERR2027891","shiSRR873595","stewartERR2027900","hessSRR094416","shiSRR873609","wallaceERR983263","hessSRR094415","stewartERR2027925","shiSRR1222431","stewartERR2027898","stewartERR2027918","shiSRR873456","hessSRR094419","hessSRR094403","shiSRR873598","shiSRR873605","stewartERR2027926","hessSRR094417","stewartERR2027915","stewartERR2027897","shiSRR873607","stewartERR2027924","stewartERR2027902","wallaceERR2027890","shiSRR1222429","wallaceERR2530126","wallaceERR2027889","stewartERR2027899","shiSRR1267595","stewartERR2027919","shiSRR873608","shiSRR873451","hessSRR094428","shiSRR873601","stewartERR2027910","stewartERR2027907","hessSRR094427","shiSRR873610","wallaceERR983269","stewartERR2027921","hessSRR094405","wallaceERR983266","shiSRR873465","stewartERR2027913","wallaceERR983262","stewartERR2027905","shiSRR873461","stewartERR2027911","shiSRR873453","stewartERR2027914","stewartERR2027901","wallaceERR983267","stewartERR2027893","stewartERR2027892","shiSRR873603","stewartERR2027904","stewartERR2027896","stewartERR2027894","wallaceERR2530127","stewartERR2027906","wallaceERR2282092","stewartERR2027930","stewartERR2027922","shiSRR873600","shiSRR873450"
"Methylococcales",7473,1525,607,6192,956,3776,15048,7460,7110,1421,7047,6812,1154,11714,21802,984,1314,1628,6746,8182,13675,15789,8666,6478,8299,10073,1230,17386,18481,8144,8628,836,1063,6600,8627,1594,4980,15155,6230,1331,21290,5431,1389,6062,23398,6253,5909,652,652,1281,14210,17802,5661,1401,6240,7537,17266,8299,7534,3478,113,4779,6600,11043,12422,8153,18227,979,11821,16461,7301,5345,665,16301,4974,7648,1387,4504,1498,7271,4426,12823,1505,6138,1575,8954,7692,5522,5703,12487,4174,11262,11089,12144,5985,8587,15282,9456,6607,18349,660
"Nevskiales",1618,345,183,1687,318,563,3940,1666,1982,401,1948,1740,312,3281,6005,359,399,365,1539,2002,3666,3724,2299,1856,2245,2390,365,4073,5838,1713,2097,166,354,1907,2264,565,1232,3549,1639,379,6233,1408,409,1642,7541,1351,1373,301,198,383,4755,5029,1531,383,1588,1974,5212,2072,2188,743,33,2370,1907,3556,3310,2116,5623,213,3569,6868,1836,1501,184,4721,1347,2348,409,531,559,1839,823,3104,532,1780,434,2326,1732,1345,1696,3112,1274,2449,2782,3069,1232,2096,5280,1587,1876,4448,164
"Oceanospirillales",29420,7691,3734,23562,4503,15150,74818,27284,28175,5085,27620,25965,6104,44667,98061,5583,4936,6963,26540,32201,68200,72100,33200,24769,31728,41027,5236,69485,79800,25567,33255,4591,4880,26064,33803,5799,19864,78339,25526,4933,85841,21403,5311,24210,89329,28290,23643,4790,2435,4844,61448,79640,22939,5052,23757,30254,73357,33612,29273,13894,468,22489,26064,40796,54014,29916,78672,5258,44862,82684,27210,23081,2545,69845,17478,30811,4856,16889,8052,26992,17734,47770,6777,25737,10200,34949,32849,20308,31787,45394,19187,42443,43991,47913,24734,37405,66144,26938,25470,89737,4237
"Orbales",1958,529,308,997,169,2419,1881,752,1982,49,1315,1047,190,1092,5388,197,48,183,539,1076,2776,2198,1021,720,1136,2795,179,2513,1665,1329,1063,129,313,1838,1099,126,1662,2701,930,42,1969,704,51,1255,2159,2258,1048,115,64,44,3463,1623,637,43,806,2668,2045,1454,935,956,5,2424,1838,3756,1828,957,2228,185,775,2494,1012,838,47,2667,375,1042,50,1429,290,1147,1457,3286,224,943,259,1172,2063,703,1914,2818,674,2874,2442,2874,976,1828,1804,1381,717,3930,140
"Pasteurellales",20767,9024,7995,9957,3677,14693,34810,13027,11200,1124,14145,10767,3686,15900,65528,3367,1027,5726,14059,14419,30674,36210,14562,9336,13868,12406,4343,32205,30611,9413,15248,2671,7666,14055,14177,5956,11450,48531,9507,1115,33361,10642,1292,15690,34477,18954,14463,2234,962,1102,38820,31915,8938,1064,9618,18801,36515,18185,12165,10084,212,5089,14055,15660,27344,12391,34029,3863,14721,34308,11685,15510,980,33787,5753,11350,1119,17604,3370,12434,8991,10677,5115,11092,6246,15196,11259,8959,30978,11407,10030,13199,24375,11711,7609,8695,13701,14957,9014,61005,3559
"Pseudomonadales",120368,27704,14652,102222,15914,64546,293514,105966,114942,21521,119301,112119,21138,178743,385085,19251,21221,24294,107963,132513,294460,283311,138857,110753,135896,164866,19137,293667,335950,98795,140971,14532,17216,119202,143308,20776,88874,300493,106168,21053,371737,86242,22656,97375,385242,117915,96171,14129,9643,20743,272220,324730,98761,22194,102872,135521,310078,138425,126035,57330,2017,95133,119202,173473,226976,129829,326059,16074,184372,340284,112137,96198,9822,284651,71991,133178,21115,64894,24999,114296,70452,196689,24270,111209,31064,143975,139419,83245,125839,196468,80940,177334,188910,204320,93897,132396,271693,108298,109670,363724,12058
"Salinisphaerales",764,180,78,635,77,187,1079,593,426,154,782,593,133,1298,2027,144,150,163,429,855,1214,1626,982,663,823,849,130,1602,2272,780,897,70,161,703,955,120,544,1904,484,175,2405,569,162,881,3099,470,811,90,79,141,1403,2194,588,179,600,887,2123,951,846,380,19,1418,703,1392,1252,873,1654,116,1380,2209,667,602,57,1477,450,775,140,457,148,760,285,662,116,691,177,998,611,576,1642,848,488,1174,1749,675,695,569,2199,710,692,1903,64
"Thiotrichales",11452,1877,6892,6616,1096,11648,19961,6959,8604,612,9599,7145,1010,9926,40810,911,565,1629,6735,8683,20843,19350,8533,6147,9440,8115,1385,19678,16335,4979,9381,634,5956,12001,8680,1563,10474,20461,7253,587,17459,5978,706,8007,16926,14293,7573,489,583,603,22343,18436,6104,563,6014,15357,19388,9518,7947,5484,101,5174,12001,10022,16936,7057,23474,933,8230,18383,7063,8589,490,24811,3660,7127,523,6981,1801,8590,5652,6511,1973,7465,1377,8422,7637,5765,13038,7167,7031,7733,14669,6572,3447,4405,7058,9207,5673,33184,611
"Vibrionales",31858,5087,2987,16366,2408,19915,54648,21612,23784,2231,21942,20004,3212,28555,86636,4592,2090,3395,23290,26353,45441,53176,23871,16972,22096,29519,3479,49489,47440,16729,25168,2378,3231,21664,23238,3252,17208,50912,16758,2189,48626,16814,2490,22574,44267,29488,21940,2346,1701,2149,54719,47199,15098,2232,15811,28106,46566,29788,20493,15377,295,16243,21664,32738,43791,21097,50470,3544,25501,55988,21098,21318,1467,56004,10604,19292,2305,23999,4029,19306,15661,37140,4018,18454,5191,25285,26569,14601,40872,36552,14376,35474,38549,35033,18097,23609,36111,24300,15229,74679,2163
"Xanthomonadales",52273,10102,4433,43089,6322,99780,164807,40841,50358,10400,55334,41935,7918,77130,290185,6506,10240,8917,38274,53842,250665,218738,60946,45261,60677,48185,6720,222037,219623,36004,58679,5168,6278,59508,58044,7135,55108,148775,43675,10417,239111,30904,10926,41590,235068,49768,42414,5462,4422,10250,330717,200966,42353,10952,42091,80659,299929,53724,55584,24820,1561,31806,59508,51191,227442,54438,224385,5417,83893,153616,50768,32231,4490,217405,30026,56565,10366,17190,12001,48901,21610,60836,9184,52844,10959,58791,60736,35360,49926,61450,63874,53742,93271,62379,29327,46708,93431,49853,47969,235228,3768
"Hydrogenophilales",299,96,23,450,43,138,1035,405,335,70,439,456,38,822,1531,92,82,47,496,336,573,794,608,367,440,481,50,938,965,278,552,95,41,360,521,76,259,931,482,71,1150,203,89,363,1533,284,376,31,45,66,804,940,333,80,344,434,855,579,490,114,8,192,360,682,757,438,881,37,929,827,341,167,51,1059,299,455,100,143,123,411,217,658,67,440,117,545,376,298,612,584,280,538,496,707,355,355,813,294,360,853,47
"Bacteriovoracales",1494,805,427,1053,243,2497,4267,1108,1379,122,1436,1204,294,2009,8323,215,124,291,1345,1215,3584,4064,1216,1034,1501,887,259,3686,3140,803,1477,271,235,1905,1280,218,1497,4575,1219,109,2983,749,148,1111,2693,2598,1044,78,138,101,4236,3290,809,96,920,2381,3090,1244,1259,747,24,527,1905,1576,3316,969,3922,205,1781,3648,1212,1639,139,3647,707,1266,105,1174,307,1242,667,933,391,1111,261,1289,1372,934,1285,1029,1465,1594,2194,897,951,936,1201,1243,1015,7999,115
"Bdellovibrionales",1655,610,287,1540,395,1477,5772,2146,1260,343,1750,1771,483,3542,8222,381,325,565,1834,1785,5515,4725,2190,1648,2080,1863,339,4271,5434,1419,2206,277,368,1893,2163,308,1337,5581,1857,295,5138,1736,336,1705,4589,1868,1550,354,231,337,5366,5219,1489,331,1444,2197,4957,2011,2068,793,31,985,1893,2180,3809,1831,5928,325,3299,6596,1450,1905,205,5309,1298,1878,305,1333,675,2105,1277,1908,411,1743,1187,2234,1378,1583,1577,1505,1205,1373,2591,1243,886,1346,2526,1580,1666,5149,357
"Silvanigrellales",916,78,149,414,30,831,937,262,771,27,939,403,26,616,3054,24,32,69,393,295,1052,1316,473,336,600,223,153,883,790,224,628,18,157,1159,401,117,1022,1227,292,34,910,287,32,572,736,814,523,9,45,18,1456,826,310,20,424,1727,1207,622,399,418,6,65,1159,1147,866,375,1202,40,476,1049,355,225,36,1259,224,447,40,298,75,526,239,227,96,523,69,425,516,377,534,352,295,313,925,241,97,130,143,718,384,2370,17
"Mariprofundales",1150,1403,638,1121,233,760,4477,1594,1177,181,1537,1231,952,1909,3761,448,166,411,904,1320,6567,4049,1614,1273,1455,1667,433,3294,3627,1137,1850,676,230,1249,1684,277,704,2943,1604,138,4508,1103,186,1300,3399,1907,1354,431,102,158,3159,3483,1179,178,1218,1391,3238,1715,1398,516,22,1624,1249,1713,2331,1434,3219,313,1980,3405,1078,2597,96,3022,862,1560,181,767,581,1294,691,2204,470,1115,597,1441,2035,1026,1883,1590,1143,2224,2046,1908,1114,1797,2335,1495,1208,6267,279
"Brachyspirales",9700,749,529,4782,491,11881,12499,3272,8016,230,8746,4486,351,4652,38238,497,204,530,3717,4266,15378,13083,4852,3628,7365,2666,464,11965,8890,2829,6348,207,955,13162,5333,524,11167,11370,3887,187,12748,2483,263,4983,9283,11208,5317,194,277,214,14755,10154,3704,176,4284,17512,12644,5467,4583,4684,51,636,13162,4996,10367,4076,16111,296,3637,11104,4878,8872,233,18717,2155,5082,200,3136,683,6008,3028,2766,615,5961,720,4924,5941,3783,7090,4166,4421,3081,12095,2939,1085,2114,1896,7367,3857,25174,154
"Spirochaetales",30405,24805,4791,26081,11057,26357,117295,27842,24304,6553,29772,26376,13433,95548,164166,10621,6098,15312,22237,38480,103950,97705,31854,28051,33590,61304,7662,74213,91441,28862,45608,9009,8695,41712,38225,12853,26423,110350,40226,6218,162824,45561,7068,25614,108099,41992,22827,9111,8217,6163,104315,106832,24372,6289,26165,45084,92554,35233,30757,14384,571,17885,41712,28875,73974,31394,107965,7018,88243,124865,28688,41641,7185,88271,23096,32630,6370,23309,12205,29966,21501,30702,10402,30119,15613,36366,24877,24232,25497,37139,27951,30305,52730,27258,19782,19335,45792,29852,27456,102748,4810
"Synergistales",7365,3015,1604,8913,2157,4090,20208,9694,6849,2662,9038,8257,2631,24751,27816,2124,2562,3136,5426,10014,17571,18556,10906,10327,12062,11194,2105,16778,23907,7267,11509,1891,2161,9268,12481,2318,6295,23468,9271,2582,29702,9466,2845,7470,32044,7271,6535,1931,2142,2576,17952,26812,8483,2653,9786,9357,25966,9462,9562,3447,141,6935,9268,7733,10130,11766,27897,1867,26518,25156,9071,7808,2362,21244,7917,12304,2580,4148,2791,9852,4998,10523,2460,9572,3521,12032,6856,8325,6996,10550,5933,9850,15225,10920,4751,7696,20178,7199,9916,22281,1612
"Acholeplasmatales",8036,3672,1708,5821,1513,10005,20668,3474,6410,431,7113,5605,1470,13329,42579,5108,390,1204,4819,5254,18545,16413,6007,4363,7171,5260,739,19002,13333,4949,5989,1004,1713,11260,7334,809,7963,21314,6299,433,12247,4063,494,4126,11491,10447,3928,2032,984,405,21425,15195,4347,432,5004,12772,16466,5491,4682,3781,64,420,11260,11959,10901,5409,31611,1458,10074,23371,5919,11151,874,45426,3400,6912,495,5561,3398,6859,3203,4901,1277,6181,3710,6785,4634,5359,4876,5399,8134,4581,14153,4447,1001,1616,2661,6315,5323,27519,3736
"Entomoplasmatales",20690,2564,1717,11479,1125,24700,28536,6758,16109,443,17690,10420,619,14394,85902,1220,432,1303,6951,8483,35480,28135,10863,7856,16528,10095,882,27121,19541,6500,12510,513,1926,26363,12750,840,22866,32782,11490,496,19094,6325,567,9939,16442,19655,10054,320,1001,441,41804,22793,7966,443,9513,34863,25172,10096,10085,10117,116,1988,26363,26150,23273,8964,35489,481,11167,33614,10614,16171,761,42689,5308,12656,466,8475,2125,13725,7168,9459,1326,12309,895,11896,12831,8703,12749,10534,12297,9561,26415,8285,2191,4196,5042,14861,9600,56372,712
"Mycoplasmatales",33109,7793,2891,18425,2600,43302,46377,11450,26195,829,27944,15999,2157,24035,140252,10590,765,2855,12097,14075,53286,44073,17765,13428,28010,14628,1590,46382,30639,9638,20170,1303,3350,43283,20298,1538,36346,48676,17570,752,33824,10141,983,16511,29000,31077,16354,4424,1709,821,62639,38049,13574,832,16540,56916,42072,17749,17525,16134,178,1292,43283,35187,37447,14708,56470,2768,18510,45444,17151,22220,1189,65812,8582,19329,792,12311,3192,21618,10562,12605,2452,19985,5478,17902,21143,15031,22295,15187,19490,13055,41626,11624,3516,6175,7811,24007,14552,96557,7891
"Thermodesulfobacteriales",1744,233,222,1438,126,2019,3801,1358,1345,126,1657,1182,261,2583,6561,125,130,131,1102,1236,4801,3897,1563,1329,2148,903,226,3286,2856,806,2057,107,240,2240,1724,177,1669,4023,1391,147,3379,1046,169,1155,2976,2228,1258,119,145,166,3818,2817,1099,120,1307,2723,3278,1527,1489,843,19,251,2240,1933,2297,1238,4827,131,2279,3501,1307,2271,122,4033,1099,1604,124,931,157,1498,809,823,211,1503,152,1518,892,1262,1373,1089,847,1179,2336,1175,348,454,729,1540,1229,5629,79
"Kosmotogales",910,532,283,767,270,727,2535,1060,777,138,844,780,425,1888,3680,265,120,317,1196,975,1999,2682,975,847,990,1507,289,2052,2557,834,1088,161,225,1054,1204,287,661,2233,863,144,3356,715,188,685,2939,1787,709,183,132,112,2311,2644,700,154,799,949,2641,1108,990,436,11,684,1054,1095,1666,893,3581,170,1780,2956,832,878,108,2854,704,920,152,710,405,919,933,861,595,752,728,1011,741,712,818,774,708,721,1415,772,470,900,1455,957,749,2816,131
"Petrotogales",2183,444,186,1416,295,3136,4874,1179,2097,97,2180,1420,227,2242,10270,208,92,238,902,1372,5280,4191,1604,1358,2097,1614,159,3463,2873,986,1868,133,285,3142,1943,174,2564,4357,1554,106,4028,1188,123,1136,3165,5054,1231,114,172,105,4981,3486,1010,91,1427,3682,4156,1502,1496,1002,24,261,3142,3599,3631,1450,5520,130,1909,4539,1446,3052,144,5204,883,1834,103,1314,225,1896,1244,1261,436,1615,196,1637,1502,1263,1921,1617,2013,1616,3303,1108,459,543,973,1994,1304,7116,61
"Thermotogales",4777,1785,622,4329,971,5057,14464,4118,4573,604,5389,4232,1188,8134,21275,1021,566,1024,2984,4738,14013,11398,4866,4213,6220,7029,881,10467,11163,3283,5795,727,1076,6227,6258,880,4777,10383,3860,590,12964,3964,650,4075,11667,8943,3644,483,524,593,11560,12167,3835,596,4592,7379,11933,5051,4446,2333,56,1842,6227,8194,8421,4622,14844,669,7381,14343,4733,8688,439,15258,3139,5079,599,3246,1133,5635,3403,6904,1084,4960,1555,5201,4782,3948,4266,6635,3562,5356,8745,6757,2625,4256,5581,4623,4133,16295,429
"Methylacidiphilales",695,65,52,610,37,433,971,694,461,90,856,533,38,1030,3455,31,68,103,822,791,1128,1282,963,495,872,673,114,2214,2796,384,740,30,69,709,768,85,700,1240,607,98,1583,311,84,708,2044,665,724,54,48,89,2158,1649,519,79,489,1113,1594,886,833,338,14,146,709,545,1074,701,2022,127,948,2454,413,399,43,2632,445,644,83,279,55,694,433,535,95,469,117,768,540,547,386,578,643,276,1169,669,207,575,552,642,596,3616,25
"Opitutales",11442,2917,1347,12641,1703,3019,33905,11239,8210,3248,14957,10344,2185,26544,38376,1568,3192,2881,9398,15667,30982,28323,19127,12105,16756,6536,2002,38945,40231,8123,17072,1359,1769,13053,16095,1931,11933,32655,9166,3250,40298,8405,3379,11671,45814,11433,12494,1341,1493,3154,26874,42962,12437,3283,10673,15658,35133,14744,17047,5277,200,6776,13053,6758,25187,15847,40033,1393,29884,35075,10740,5921,1722,36035,9406,14392,3112,4471,3023,13768,2898,7765,3208,11404,3037,17606,5934,10598,10022,8998,12015,7724,20343,8515,5962,6963,18157,10371,14100,47556,1236
"Puniceicoccales",818,285,127,676,127,351,1259,636,464,121,696,613,113,1375,2414,381,101,206,605,726,831,1693,903,651,874,758,151,2189,1672,512,897,296,132,695,932,116,543,2257,592,95,1688,581,130,641,1708,806,646,107,91,116,1033,1603,783,116,703,694,1366,916,762,394,5,379,695,667,1515,670,1992,143,1348,1839,632,562,74,1337,493,718,113,404,154,768,341,776,306,752,667,886,743,507,365,1108,409,922,934,939,450,1229,1337,591,604,1578,193
"Verrucomicrobiales",8141,2539,1122,8917,1514,3060,23925,8351,5700,2304,10066,7702,2125,21357,27884,1784,2218,2514,6221,10025,19209,19879,13011,8345,11699,7527,1903,27368,31573,6948,10939,1420,1701,9552,11889,2133,8198,27813,7450,2272,30370,6951,2408,7736,34627,6905,7880,1613,1309,2296,19671,29442,8706,2355,7632,11196,24536,9866,11799,3726,157,4417,9552,6296,18441,11267,28113,1306,23027,27044,7680,8845,1454,26879,7026,10128,2226,3774,2712,9972,4162,6548,2527,8545,3102,12799,5986,7975,6018,6489,7732,6678,14113,7467,4431,5931,12910,7542,10153,23573,1184
"Primates",171865,6306,10469,71892,3420,196774,164918,48695,127940,3468,140410,67334,2492,49181,569999,3087,3315,4915,60243,70194,247071,194456,75184,55891,115668,36999,5440,204342,157459,41438,105291,2274,11128,206152,75034,4362,190175,143082,55260,3185,181057,29805,4109,86651,148463,141062,88962,1489,2119,3237,259464,163318,56270,3407,66884,308868,217339,85528,76839,84527,808,10137,206152,85647,193691,56539,194379,3165,41531,149389,74797,70390,1846,239017,26585,69321,3346,34017,5555,85789,39746,42855,7783,94124,4171,72006,106979,49722,112407,61079,64805,53682,200636,41693,26191,37680,59922,118945,56585,429638,1972
"Haemosporida",83373,4731,21129,26014,3508,98606,57648,17073,65999,568,65145,24590,728,11228,284790,1209,561,3730,18612,22257,117709,74453,25272,16409,49518,6905,6583,79594,55282,7837,39130,625,20009,107855,23545,5773,102448,44884,14306,541,70097,6970,747,34451,54254,52225,37289,606,667,564,122938,58500,16045,568,23408,168590,95845,26918,25648,41027,296,876,107855,25511,85933,15356,75169,4281,8498,38756,27119,17656,436,97754,5765,21474,551,7364,4038,32970,13572,9163,10657,40785,1843,21674,49291,22309,49973,18894,29478,11758,95506,9866,3353,6555,4988,56370,18369,202275,999
"Eucoccidiorida",6827,17515,33122,4188,16048,7087,11243,3858,5728,554,6620,3972,4045,5405,28358,3503,558,11553,4190,4534,13594,13314,5168,3827,6400,3204,23687,13486,12256,3580,5903,3940,32160,8528,5097,23820,7625,9982,3700,521,13252,2374,649,4212,12352,5804,4518,1634,275,523,15837,12384,3962,591,3898,12357,15294,4910,5026,3218,86,1306,8528,5129,11465,4263,13734,7826,5369,11569,4093,3944,292,15372,2364,4175,591,1748,14122,4833,2661,3895,23531,4861,6173,4861,5695,3820,5634,3820,4287,3986,9610,3886,2242,3685,5584,5632,3999,20257,1154
"Naviculales",634,1321,1277,574,1106,527,1317,528,480,95,774,532,259,1078,2927,254,89,1124,417,645,1542,1565,676,568,746,478,1949,1404,1863,370,865,232,2416,830,672,1762,619,1390,385,76,1843,346,102,594,1912,559,643,197,105,79,1751,2053,391,87,495,1089,1932,655,643,308,8,344,830,582,1641,568,1856,541,1060,1393,661,197,72,2470,319,547,90,338,1113,577,421,287,2089,576,462,589,403,552,665,459,462,341,1160,461,254,370,653,632,511,2688,135
"Thalassiosirales",709,230,138,687,111,661,3619,679,790,94,861,655,129,1120,5100,90,90,196,503,899,2558,2498,835,647,1030,315,151,2031,1851,508,917,97,176,1089,751,117,686,1966,776,103,2322,478,126,625,2086,1699,600,57,69,94,2744,2275,630,89,595,1236,2573,680,808,332,12,269,1089,608,2309,687,2456,111,1127,1857,656,430,73,2771,396,645,105,194,220,830,396,577,156,698,206,725,698,696,542,482,1257,871,1135,477,286,748,801,746,725,5942,58
"Cryptomonadales",442,66,581,196,42,712,761,229,358,6,324,163,25,326,2413,27,9,59,101,115,1246,646,183,139,394,50,98,846,644,55,233,30,170,644,178,99,549,471,155,3,1054,56,13,229,655,323,276,15,57,1,1664,819,137,8,182,1025,1338,163,180,212,7,6,644,185,1109,107,961,147,535,449,177,67,89,1158,66,123,12,38,50,266,109,62454,93,269,48,147,375,261,333,105,351,92,425,45,30,50,69,295,135,1381,21
"Dictyosteliales",15642,21272,8055,4374,13019,16162,10369,3260,10996,114,11310,4215,5321,2346,57465,4643,111,8172,2886,3715,23147,13512,4130,2624,8563,1397,11487,15073,9986,1030,6526,4763,19807,18978,3592,12394,18589,7374,2365,106,12895,1331,154,5614,10301,9802,6253,1171,143,98,23725,10442,2641,105,3874,30559,18029,3824,4326,7707,39,186,18978,3094,16272,2552,14230,2537,1668,7710,4699,1600,92,17346,945,3210,119,1358,18932,5721,2279,1920,12144,6762,5713,3879,9058,4412,8903,3721,5324,2282,17039,2224,1077,1076,1277,9570,3207,35622,793
"Kinetoplastida",4561,847,440,3587,518,4048,8922,3045,4201,610,4540,3267,440,5233,17604,429,591,822,2669,4161,9461,10736,3966,3573,4918,3858,712,10463,10406,3884,4502,357,837,5355,4615,1491,4655,9864,3376,572,11405,2436,656,3147,11406,4334,3344,333,260,557,9947,12063,3248,583,3515,6560,11841,3652,3952,2186,41,3182,5355,5672,9735,4015,10655,376,5083,9731,3704,3458,219,10224,2095,4152,546,1611,672,4063,1871,4280,950,3726,797,4188,4919,2731,3515,4492,2770,4529,6564,4330,2654,4505,7928,3873,3524,15086,416
"Pyrenomonadales",412,194,638,91,125,401,378,111,250,8,286,130,62,117,1616,91,7,480,54,98,821,564,110,55,235,106,196,424,566,127,131,51,839,461,106,271,507,406,155,2,478,33,2,133,514,168,148,39,12,7,798,426,50,4,95,716,1167,105,151,204,1,37719,461,115,632,77,450,132,153,337,134,272,26,569,33,89,6,28,103,148,75,30,242,164,123,128,152,169,224,140,150,66,393,41,8,21,37,253,67,1036,40
"Peniculida",740,9,29,167,15,397,198,94,334,2,529,172,2,60,1693,5,0,7,130,127,681,681,146,73,389,11,6,622,341,35,265,1,40,762,90,6,917,309,40,2,441,38,2,223,316,319,244,0,1,0,694,308,78,2,146,1462,868,137,130,338,1,0,762,34,595,88,539,3,26,173,171,34,0,881,27,94,3,56,14,208,61,16,20,265,3,116,331,131,372,162,204,41,598,79,31,12,5,368,90,1753,1
"Bunyavirales",248,2,1,92,1,228,141,73,338,6,122,157,2,64,626,2,4,3,69,128,185,140,115,48,149,33,6,238,253,35,121,0,5,245,98,4,172,158,56,1,146,115,16,87,142,107,87,0,3,6,215,127,56,2,76,306,158,108,79,113,0,7,245,50,178,91,172,1,98,124,129,12,13,169,43,128,3,374,3,112,44,34,2,150,1,100,111,48,100,94,77,65,213,131,31,47,38,162,127,536,1
"Caudovirales",14652,1064,1543,7984,794,20153,18509,5525,12551,596,14774,7054,785,6357,62395,448,563,992,4400,8872,27822,18337,8940,5729,12674,2454,797,22496,17642,5030,10875,522,1972,19331,8858,1008,16064,14205,5160,609,21047,2972,578,8455,16633,11888,8862,366,394,553,27477,17864,7846,587,7220,28012,21410,9389,8319,7075,91,1131,19331,4760,20012,6306,25369,861,5855,13879,7192,7771,295,27345,2472,7586,590,4099,1177,8731,3846,3227,1611,9238,986,8564,8859,5860,10428,5014,8169,4066,20693,4446,1814,2508,5353,11116,6370,39876,228
"Herpesvirales",679,130,91,399,209,1438,678,534,795,155,625,662,87,1518,2102,117,170,287,443,994,2169,2200,1421,758,652,758,54,2702,2620,538,594,39,247,1275,1049,191,1098,1289,1006,207,1560,330,212,815,2900,462,919,41,55,191,1213,1340,954,206,460,1845,2452,435,1226,340,8,153,1275,494,3126,1110,2197,82,2175,1809,798,207,93,923,567,1268,158,183,40,473,468,776,59,1020,161,925,1045,620,998,592,695,710,891,479,533,149,1309,1087,734,1742,43
"Ligamenvirales",321,0,18,204,11,159,164,65,338,13,135,151,1,149,395,2,0,3,28,82,240,81,123,271,265,2,29,362,99,26,247,2,7,619,276,16,182,369,37,14,143,11,2,90,368,754,110,2,5,6,140,253,111,1,202,736,322,107,109,127,0,8,619,9,292,181,583,3,226,223,224,16,1,573,65,269,5,7,7,49,57,19,15,78,26,202,104,118,149,138,39,86,108,54,9,3,30,275,157,428,0
"Mononegavirales",131,10,6,77,12,158,160,45,115,5,119,58,1,64,521,4,5,4,32,67,126,438,86,58,163,61,4,301,254,42,105,0,3,199,103,6,163,99,45,2,190,71,4,117,246,109,100,1,2,4,293,123,88,2,70,277,167,122,93,63,0,9,199,31,166,75,372,6,53,226,83,22,3,451,36,84,3,23,10,86,61,49,11,101,6,94,87,41,77,91,75,36,141,25,13,14,13,123,65,311,0
"Nidovirales",200,10,2,53,5,80,115,26,40,3,52,40,0,59,510,1,5,2,17,79,146,92,59,55,54,10,7,228,104,20,36,1,6,77,78,23,98,396,87,11,182,21,9,44,113,67,100,0,8,4,349,68,23,4,41,59,257,80,28,100,0,5,77,7,345,36,277,0,51,152,61,25,4,357,25,45,8,59,2,47,29,8,20,92,0,67,41,54,43,29,44,194,238,22,22,17,13,83,66,627,0
"Ortervirales",76,15533,8645,58,2,49,84,39,87,2,88,46,9434,34,553,19,6,0,11,35,132,98,59,39,58,6,8648,125,77,89,58,5674,6,62,57,8113,72,116,129,3,75,8,5,112,76,76,82,0,2,7,127,111,28,5,39,121,139,76,52,36,0,4,62,4,92,41,75,8250,36,25,33,3,2,165,25,25,1,35,3,65,12,11,3,69,0,83,25,23,58,81,23,10,161,23,3,4,11,82,24,268,0
"Picornavirales",95,6,3,38,3,165,120,41,136,10,60,37,18,92,597,4,4,10,51,66,322,231,52,36,148,10,27,257,158,20,110,1,11,188,93,1,114,59,29,4,192,39,7,46,158,62,43,0,6,7,136,207,79,3,49,244,115,55,65,50,0,12,188,2,175,63,189,2,79,75,41,45,7,105,54,96,5,14,11,87,20,12,7,65,8,120,151,33,51,91,68,21,94,25,19,7,35,119,51,173,0
"Tymovirales",22,435,320,54,175,56,149,83,33,2,97,92,372,56,199,76,12,158,11,142,136,68,79,33,46,0,191,86,107,22,119,77,519,48,56,327,106,225,7,4,35,5,7,203,77,34,46,65,0,5,307,185,129,10,27,169,113,86,52,52,0,4,48,2,252,94,70,249,35,102,87,7,0,109,17,45,6,10,256,109,13,3,213,22,182,69,0,41,110,23,16,5,46,273,79,0,37,23,120,67,142
