"Order","stewartERR2027890","shiSRR873458","shiSRR873455","stewartERR2027917","shiSRR873463","wallaceERR983265","shiSRR873599","wallaceERR983268","stewartERR2027895","hessSRR094166","stewartERR2027928","stewartERR2027923","shiSRR873457","hessSRR094424","shiSRR873597","shiSRR873452","hessSRR094418","shiSRR873460","stewartERR2027903","stewartERR2027908","shiSRR873602","shiSRR873596","stewartERR2027927","stewartERR2027929","stewartERR2027912","wallaceERR983264","shiSRR873459","shiSRR873606","shiSRR873604","stewartERR2027909","stewartERR2027920","shiSRR873454","shiSRR873462","stewartERR2027889","stewartERR2027916","shiSRR873464","stewartERR2027891","shiSRR873595","stewartERR2027900","hessSRR094416","shiSRR873609","wallaceERR983263","hessSRR094415","stewartERR2027925","shiSRR1222431","stewartERR2027898","stewartERR2027918","shiSRR873456","hessSRR094419","hessSRR094403","shiSRR873598","shiSRR873605","stewartERR2027926","hessSRR094417","stewartERR2027915","stewartERR2027897","shiSRR873607","stewartERR2027924","stewartERR2027902","wallaceERR2027890","shiSRR1222429","wallaceERR2530126","wallaceERR2027889","stewartERR2027899","shiSRR1267595","stewartERR2027919","shiSRR873608","shiSRR873451","hessSRR094428","shiSRR873601","stewartERR2027910","stewartERR2027907","hessSRR094427","shiSRR873610","wallaceERR983269","stewartERR2027921","hessSRR094405","wallaceERR983266","shiSRR873465","stewartERR2027913","wallaceERR983262","stewartERR2027905","shiSRR873461","stewartERR2027911","shiSRR873453","stewartERR2027914","stewartERR2027901","wallaceERR983267","stewartERR2027893","stewartERR2027892","shiSRR873603","stewartERR2027904","stewartERR2027896","stewartERR2027894","wallaceERR2530127","stewartERR2027906","wallaceERR2282092","stewartERR2027930","stewartERR2027922","shiSRR873600","shiSRR873450"
"Rhodocyclales",13717,3515,1715,14531,2162,4853,34302,13148,13928,3480,18575,13619,3341,26404,40971,2374,3348,4200,11838,17008,31146,30507,21701,14530,19050,19512,2402,35041,41775,11590,18970,2095,2069,15293,21316,2465,11436,33522,13877,3325,49390,11116,3527,12325,53419,12191,12148,2117,1360,3325,27920,41686,14717,3572,13889,16057,39231,17515,17420,6571,242,13122,15293,20961,23702,22188,43170,1842,28670,40698,14377,11069,1460,35072,10396,18478,3403,5986,3413,15797,7069,23342,3133,14582,3988,19498,14843,11335,12636,22328,10052,19704,23877,23866,11201,16952,36263,12643,16727,37691,1566
"Bradymonadales",2297,748,330,2658,404,1106,5835,2725,2161,699,2959,2295,457,5476,6626,405,649,648,2186,3045,4515,6236,3645,2718,3695,2268,483,7378,8112,2534,3674,349,378,2786,3803,525,2167,7392,2527,723,9193,2245,709,2304,9791,2401,2396,379,294,676,5040,7972,2592,723,2630,2970,6565,3205,3023,1082,43,2289,2786,2911,4187,3394,8879,317,6124,8351,2577,1356,325,6538,2061,3233,681,1052,707,3031,1114,2595,702,2658,688,3536,2254,2250,2251,2848,1875,2665,4007,2489,1818,2167,5512,2377,2927,7768,293
"Desulfarculales",1437,715,272,1812,482,749,4563,1515,1159,542,1784,1483,626,4119,4196,311,522,630,914,2275,4330,3702,2202,1959,2463,1145,368,4357,5261,1423,1965,421,476,1929,2470,518,1360,3779,1781,506,6894,1693,567,1536,7782,2436,1204,291,227,514,2849,6285,1821,522,1971,1948,4954,2026,1918,653,26,648,1929,931,3244,2237,6361,330,4593,4698,1729,1000,263,3982,1405,2532,543,709,453,1740,427,1003,562,2105,668,2476,851,1490,1379,1499,1393,1242,3151,1866,1131,1084,2668,1344,1959,4535,262
"Desulfobacterales",10568,4165,3105,11153,2404,6024,33606,11537,8878,2487,12548,10429,4374,22101,40940,3804,2351,5312,10100,14046,31349,27510,14695,12035,14414,14300,3093,31449,36719,11150,14904,2674,2549,11610,14684,2696,8676,38179,11012,2357,39717,10329,2685,9872,40560,11930,9722,2761,1309,2294,27946,38416,10375,2537,11418,13210,33733,13556,12462,5051,253,7523,11610,11201,20060,13666,35477,2587,22744,38389,11061,12521,1298,27304,8569,14099,2358,5731,3224,11755,7142,12764,4141,11537,6002,14305,9865,9238,9690,11959,7947,12712,19508,12085,7304,12078,21214,9444,11747,40264,1896
"Desulfovibrionales",33996,20569,6533,35840,14162,13854,99652,37319,30581,10191,43446,33870,14378,81519,107758,10554,10082,16833,29596,45261,81455,88920,50676,38949,49752,44072,11660,97748,117899,29175,47892,10650,13038,40080,52938,16886,28713,90992,36077,10141,155229,33025,10909,31574,161409,30445,31425,8377,4818,9759,77520,121764,38717,10691,36578,41172,125107,45898,43504,15753,609,22364,40080,35821,64895,47759,133571,10019,88482,107993,37273,28855,5226,98778,28976,47383,10026,15399,15254,40452,16053,41200,14424,38751,17241,51138,33942,30698,35716,48493,28670,39563,65990,46791,20575,35717,72491,33595,41217,98563,5278
"Desulfurellales",679,117,76,534,73,831,1379,1355,654,53,734,545,104,1321,3625,74,66,64,464,774,2120,1458,978,694,1219,611,69,1446,1137,510,717,63,99,1045,1177,71,794,1418,502,67,1359,424,60,549,1031,862,602,54,62,36,2153,1270,453,82,604,1142,1317,614,887,342,13,403,1045,1540,1269,551,1836,68,1150,2146,986,1227,43,2352,369,698,59,583,112,1034,403,640,105,760,194,925,573,821,813,539,709,779,1198,776,272,438,1143,758,596,2377,102
"Desulfuromonadales",24578,9503,4458,25398,5649,10224,70286,26666,21233,6530,28475,25054,7112,56355,78556,6299,6236,8284,21181,30531,61085,65964,34089,27664,34299,33267,6063,67572,82645,22343,35209,5394,5611,27016,36084,6208,19360,70832,27198,6291,93538,23430,6766,22877,96457,26492,21877,4690,3170,6234,59066,82301,25503,6679,26522,28009,79113,32071,31305,11491,462,16801,27016,28232,47275,32968,81834,5581,59930,77731,25507,19757,3648,69037,20394,33561,6248,14162,8631,28286,12813,28107,7876,27777,10409,36203,23254,22347,24539,32157,21043,28243,43049,30227,18114,27140,58026,23035,28468,88379,3789
"Myxococcales",38479,9954,3903,43929,6519,10566,90866,36081,35008,11486,49689,37366,7166,83354,103004,5900,11265,8995,27939,48747,83778,88686,63003,43610,58110,39897,6663,107651,121450,37076,57152,4992,5960,45094,58202,6946,35726,98734,38595,11214,141297,31976,12047,37371,155357,31439,37936,5545,4456,11230,75975,123700,42945,11878,41016,49779,109124,48932,52687,17851,635,26556,45094,42205,64209,56105,122816,5161,94783,112683,39325,27827,5114,100913,30573,55077,11312,14509,9240,48021,14262,45646,9173,40098,11225,60455,33502,33432,33399,50665,31239,44817,67635,53351,22670,41477,91266,35469,49510,100351,3866
"Syntrophobacterales",3416,1209,497,3898,663,1559,10477,4060,3101,1022,4316,3742,829,9723,11556,759,1024,979,3029,4462,8452,8694,4953,4578,5253,4626,806,9802,12446,3309,5951,553,917,4068,5824,855,2990,9385,3724,1017,14917,3474,1131,3526,15756,3727,3267,441,516,989,8908,11966,3826,1045,4103,4600,12701,5092,4369,1608,66,2784,4068,3809,6731,5353,13699,594,10040,11226,4195,4214,560,9821,3324,5169,1015,1924,1041,4618,1965,4115,992,4102,1204,5627,2887,3465,2991,3966,2998,3945,6457,3716,1824,3234,8898,3480,4534,9735,359
"Campylobacterales",56045,5860,4161,31852,3267,64316,86265,24542,45430,2240,48240,30326,2757,37912,200096,3332,2069,4017,27941,30699,87042,84944,36643,26662,44819,32078,3688,82926,65646,22024,40774,2248,4795,65932,38007,4078,57446,75717,30162,2108,76577,21240,2473,31759,68698,75176,32061,1495,2355,2045,94584,75554,25740,2187,28625,86285,78568,38766,34165,27612,366,8308,65932,57833,71673,27987,94712,2472,32186,80504,30851,43343,1881,106970,16097,33353,2152,24291,5107,38411,23245,29788,4594,33462,4379,34965,36469,24635,44408,33739,30061,29979,69380,28609,12909,17537,23151,42542,26178,144972,1544
