"","stewartERR2027890","shiSRR873458","shiSRR873455","stewartERR2027917","shiSRR873463","wallaceERR983265","shiSRR873599","wallaceERR983268","stewartERR2027895","hessSRR094166","stewartERR2027928","stewartERR2027923","shiSRR873457","hessSRR094424","shiSRR873597","shiSRR873452","hessSRR094418","shiSRR873460","stewartERR2027903","stewartERR2027908","shiSRR873602","shiSRR873596","stewartERR2027927","stewartERR2027929","stewartERR2027912","wallaceERR983264","shiSRR873459","shiSRR873606","shiSRR873604","stewartERR2027909","stewartERR2027920","shiSRR873454","shiSRR873462","stewartERR2027889","stewartERR2027916","shiSRR873464","stewartERR2027891","shiSRR873595","stewartERR2027900","hessSRR094416","shiSRR873609","wallaceERR983263","hessSRR094415","stewartERR2027925","shiSRR1222431","stewartERR2027898","stewartERR2027918","shiSRR873456","hessSRR094419","hessSRR094403","shiSRR873598","shiSRR873605","stewartERR2027926","hessSRR094417","stewartERR2027915","stewartERR2027897","shiSRR873607","stewartERR2027924","stewartERR2027902","wallaceERR2027890","shiSRR1222429","wallaceERR2530126","wallaceERR2027889","stewartERR2027899","shiSRR1267595","stewartERR2027919","shiSRR873608","shiSRR873451","hessSRR094428","shiSRR873601","stewartERR2027910","stewartERR2027907","hessSRR094427","shiSRR873610","wallaceERR983269","stewartERR2027921","hessSRR094405","wallaceERR983266","shiSRR873465","stewartERR2027913","wallaceERR983262","stewartERR2027905","shiSRR873461","stewartERR2027911","shiSRR873453","stewartERR2027914","stewartERR2027901","wallaceERR983267","stewartERR2027893","stewartERR2027892","shiSRR873603","stewartERR2027904","stewartERR2027896","stewartERR2027894","wallaceERR2530127","stewartERR2027906","wallaceERR2282092","stewartERR2027930","stewartERR2027922","shiSRR873600","shiSRR873450"
"Nitrosopumilales",6.98979213524803,0.769100265792004,2.96028287147439,5.2442866606992,0.976454548804304,11.3901452714071,3.47351033866726,3.69288016462916,4.94258569426882,0.933240732702491,6.66368223235686,3.91383117511744,0.461237592708756,2.54613862670689,7.97718469609558,0.658833864060613,0.758302294979593,0.369764630590912,3.16341904150679,3.38097311849242,5.24886417262725,3.94275359701914,4.51200320206679,3.43727202338061,6.46227312836306,2.01907256840726,1.27254526019309,5.51348375301255,3.61274694065071,2.36657081137605,5.35898452994843,0.283105669191026,1.93919679719755,8.65174245048859,4.31802064455126,0.636204955873477,8.88481103807112,2.9809339549472,2.90879883497915,1.07212257934824,4.50405872172593,2.13631829377025,1.13596302244506,4.73649355510553,3.73548630547917,4.00229089639794,5.77173710668404,0.305607905057811,0.954821850344238,0.759070897221801,5.23568998839544,4.05286162812173,4.71463604015261,0.662195069850899,4.05003588639393,12.1131749690718,5.55414982926689,6.75904587033172,4.84112791054752,5.20167196598907,0.868149755832881,0.422430279802456,8.65174245048859,4.18310322156476,4.27131304121781,3.08334130356565,4.81090992436397,0.651492324606051,2.03403530740766,3.09735366112214,3.77068176205763,4.71177132203184,0.923051103465637,5.76464625152483,3.37597273790753,3.46864008188265,0.679275722261139,2.97457773678446,0.889760022695328,4.97421386304018,2.75058105374812,2.50836749276071,0.969561239399691,5.64177582518119,0.406640195187294,3.92543346807871,4.4375581035017,3.98169363341324,4.69842223095571,2.39693778968094,3.2710789887693,2.40254709057407,4.11273370948114,1.56623265674192,1.21350872913109,4.29515323132344,1.56585113126232,5.3385541499942,3.30183487681011,6.16167640555452,0.629240534033705
"Candidatus Nitrosocaldales",0.326256209990361,0.022620596052706,0.0411150398815887,0.409630877065222,0.0736946829286267,0.673028113182796,0.377195036776516,0.230217720186805,0.375927001811285,0.108516364267732,0.275127537934958,0.156737644233207,0.516586103833807,0.246505140929584,0.509912236259336,0.128106584678452,0.245333095434574,0.0284434331223779,0.523443438522706,0.340472702799002,0.333114341497719,0.331395237680488,0.45483903246641,0.107414750730644,0.32008581760299,0.130984138140345,0.0169672701359078,0.246717360591706,0.203608570354592,0.229318877071323,0.313367711225704,0.0471842781985043,0.0781934192418366,0.555268166048911,0.153652194468521,0.0489388427594982,0.441337018884579,0.15980703832812,0.367822304294138,0.111679435348775,0.407923860649347,0.331041057918944,0.137098985467508,0.638250904588688,0.361060812956925,0.172833899844449,0.266697529777031,0.0254673254214842,0.301522689582391,0.108438699603114,0.394512912953244,0.246249820442839,0.161995788109509,0.0854445251420515,0.163119972409422,0.467260606815775,0.200420381750722,0.238406939733235,0.239346809010278,0.192919152584759,0.10851871947911,0.130569359211668,0.555268166048911,0.0739644970414201,0.145477440264817,0.168513483355878,0.268164107265643,0.0407182702878782,0.265020886958653,0.235144459649596,0.175711870524096,0.128349326334917,0.111884982238259,0.388028355172054,0.146228574334978,0.203081972007181,0.0636820989619818,0.121058396264484,0.167635946304917,0.22524742021314,0.171586341727198,0.210597570606596,0.027311584208442,0.123890347512425,0.119600057408028,0.158687735943607,0.280962710463795,0.235603173574748,0.194295656167342,0.334266834615369,0.140189099518684,0.299504515356117,0.174244938599403,0.118653989147115,0.100083194155141,0.372362074489734,0.0694647451946315,0.227065157608449,0.377352557349727,0.381628884128649,0.027358284088422
"Nitrososphaerales",5.37828418893201,2.40909347961319,5.24216758490256,3.42370498485377,1.19753859759018,6.83865006530654,4.48489043727682,2.65455126337847,4.29325723659479,2.30054692247591,4.83571621760257,3.61879560950199,1.42061178554297,3.1202361259771,10.5234772092111,1.20786208411112,1.33818052055222,1.25151105738463,2.55804532565009,3.1157211291025,5.37609534472708,4.47596003713326,3.63416386940662,2.88677142588606,4.51580531861515,3.55254540517228,1.3064798004649,5.52387185240588,4.97274777596792,2.23815224021611,3.68504561681872,1.65144973694765,1.68897785562367,6.63948858378142,3.32125128043495,1.02771569794946,6.43422917005412,3.8311073988528,3.19404878524807,1.56351209488285,6.02230788355101,1.60665260109994,1.7627012417251,3.93987964411513,5.29103401844396,4.20223599621799,3.94511062915457,1.70631080323944,1.2312176491281,1.84345789325294,4.10671154600797,5.04299111448564,3.28460425546177,1.85841842183962,3.36493200227436,9.17165819664106,5.62179170810776,3.73085947793063,3.93793240484835,3.83694759029688,0.976668475311991,2.17359580334718,6.63948858378142,3.35579662502739,3.04548674128149,2.82373945082822,5.26931010772404,1.42513946007574,2.97485945611088,4.09768132143477,3.48574359364018,2.40486106185424,1.09087857682303,5.25050868092186,2.46045470728854,2.64818891497364,1.63450720669087,1.54493572375627,1.35398264323202,4.16238461935532,2.84417360378114,4.26836147568726,1.70697401302763,4.4076373634228,1.36344065445151,3.29485851735543,4.78049788245016,3.40446585815511,4.8750546456533,4.14572403419305,4.01875418620228,3.67869676470014,4.18187852638566,4.20035121580788,2.80858463597866,3.4898120004503,2.63676595301289,4.92479097390769,3.21273774521365,9.02293416997636,0.547165681768439
"Acidobacteriales",35.2801601621395,33.4219306678731,29.1094482361648,40.7304578257198,32.7941339032389,18.7820472602623,47.8125796617265,38.8973980699298,30.1467824066163,42.0826460630263,42.0012497318672,35.2613600217589,46.1237592708756,56.9978268625734,45.3266216680014,40.2254675890341,44.3160782389544,37.9150963521297,32.4443898242596,41.1100993705214,51.3528143535269,48.0374391645441,47.6898725541031,38.3157367085435,47.0093603474229,32.5160136095714,33.6291294093693,63.2297639823818,72.2836528421668,42.4102331255704,44.2840142800476,33.312100408144,27.289503315401,39.2009833467009,43.1171696477819,32.9847800199018,36.4451464542055,53.880541042709,30.146415796842,43.845346317929,73.4045711609899,29.0786465276,42.1481452465823,32.9155109366452,83.7878265496432,30.5678779724889,35.0078248048831,44.0075383283248,26.0063319764812,42.898349562992,44.7961018766644,70.5967453982065,43.4428015216432,43.106762934165,40.0389623705526,38.7603798606228,67.5015845736432,41.4535294683525,41.6011849925035,24.1434746882927,16.4948453608247,49.109440164671,39.2009833467009,24.1179048871357,42.4817974333964,45.0158721483647,63.7863855145542,29.5818233641435,61.5809158459301,47.9887439045545,37.1321923142678,25.6360891284743,30.0970602220917,60.5785017740171,40.3336554600478,43.3783092207339,40.0135855144452,19.6402836225284,37.8857238649112,39.2165143900253,23.0133681358964,34.5079162122523,36.7340807603545,37.3434097482643,43.474620867818,45.2886446396953,32.1743621526702,39.9759684762954,29.8376306527892,36.8427274543135,36.8956941177692,33.5835715262359,38.0158203341078,35.9837997753484,40.8777296127406,37.7341334788143,54.958190906486,36.2345532619171,45.9479148650703,57.2807695479328,32.8299409061064
"Solibacterales",8.39862576929731,4.01515579935531,5.01603486555382,8.66293447423118,4.6796123659678,3.10847730241206,8.19052079857578,7.72873774912846,4.62219336317966,11.1771855195764,9.06521921602641,7.02092447550513,4.24338585292056,13.1685641075541,10.7179629659895,3.51378060832327,10.2370809822245,5.14826139515039,7.14158917427935,7.67251276772635,6.62990071341988,8.9816606725199,11.0162013663365,8.19037474321161,9.87075453743274,5.05407089117135,5.42952644349051,11.1983711460151,13.9941736624483,7.3152721785752,9.40896469654899,5.16667846273622,4.23808332290754,9.2022647347764,9.79434244740367,4.50237353387384,7.68274836821444,10.8370479591576,5.39722932219357,11.1456076478077,11.9673757461507,5.02299631882344,9.91029809236555,7.16472631993166,16.1744385232884,5.81196349476923,7.2209614194347,5.85748484694137,6.33197648123021,9.6727320045978,7.08654312256971,13.1153680408775,9.09969444242726,11.1505105310377,7.88568552333548,8.72219799389446,11.6118558676825,10.092560448707,9.74547950649398,5.72326819334786,3.68963646228974,4.82338574028986,9.2022647347764,4.52279202279202,8.34706624470259,10.0516015612547,11.5081366032546,3.9089539476363,15.0697501846864,9.51756837499759,6.96673821780674,5.01575656861454,7.55223630108249,10.5616467923393,8.07436040893139,8.82594250343208,9.67967904222123,3.07257739090333,4.38432474951321,9.00520415393784,4.61203288218258,5.24237523974277,4.15136079968319,8.89627995406527,6.37468305984787,9.63401596899743,4.72678442309679,7.80435512466353,6.29694558396884,5.52763204559074,7.59098012949319,5.68081934017853,6.09580705830291,5.26032685218877,4.32234294757517,3.44651408481196,7.42983337144246,7.68489411194817,10.4453284277501,10.9445027222221,4.56883344276647
"Acidimicrobiales",1.47803949677451,1.37985635921507,0.822300797631774,1.9824111581428,1.34492796344744,0.74717527819446,1.68287016407984,1.33902143373958,1.09787772119887,2.0618109210869,1.61345979873721,1.22624156958921,0.73798014833401,2.72128701631475,1.15383986794581,1.50067713480473,2.25260387626291,1.06662874208917,1.19709238549106,1.52420919276298,1.23067242831102,1.69096544354916,2.21051769778675,1.46352597870503,1.75182102877312,1.13732568726738,0.695658075572221,1.69845425081027,2.36760222194378,0.857652600246747,1.61047203490678,1.36834406775662,1.14162392093081,1.63258332581902,1.9226223307856,0.799334431738471,1.8698752642215,1.26354098304767,1.43375632898327,2.05490161041746,2.64788446823866,1.34623363553704,1.91938579654511,1.3052950830686,2.78804101433656,1.25728189886845,1.39387199524976,1.4516375490246,1.50761344791196,2.2772126916654,1.29056085886301,2.61896944450145,1.42444572303189,2.37108557269193,1.42613461592237,2.01144565981648,2.20712945402983,1.56846670877128,1.62575191025849,0.936015147726055,0.434074877916441,1.99694314088434,1.63258332581902,1.18069252684637,0.796548607351619,1.68513483355878,3.54801741920697,1.07903416262877,3.4055183974187,1.90235722683731,1.43418878103452,0.90520051204626,2.12581466252692,2.45670452368307,1.57672549717715,1.43782036181084,2.22887346366936,0.657174151150055,1.34108757043934,1.84421325299509,1.12311060039621,0.96273175134444,0.614510644689945,1.20078336819735,0.801320384633785,1.98359669929509,0.88833798161347,1.84948491256177,0.980309901571587,1.69986914676352,1.38112223970259,1.04826580374641,1.27226463104326,2.57874669746397,1.5325239105006,1.85748058088484,2.58466739411691,1.47844647065057,1.80290666289314,1.79691590165098,0.902823374917925
"Acidothermales",1.69554363676809,1.33461516710965,2.07630951402023,1.80541016188005,1.19753859759018,1.03235668208547,1.40722763720469,1.8370434406743,1.85400362256929,1.93159128396562,1.94454547998097,1.57659630375755,2.73052654883584,2.39045116927768,1.93832023142171,2.32421946488049,1.87345272877311,2.14747920073953,1.06509360534185,1.4964962983491,1.47125500828159,2.34525860512346,2.38790492044865,1.74548969937297,1.84265619322802,2.92957206523649,1.44221796155217,2.18409789744868,2.96537610157457,2.91693611634723,1.88020626735422,1.06164625946635,0.938321030902039,1.68478802519114,1.86352533291309,1.87598897244743,1.73631274534854,2.09027606133181,1.33617081968075,2.32293225525452,2.76857200097516,1.57575543569417,1.8410435191351,1.22371414037681,3.79521065047956,0.830280499252747,1.27310330252054,5.80655019609841,0.829187396351575,1.60489275412609,2.022927915356,2.88317498101824,1.9886379505857,1.79433502798308,1.69178714241772,2.12269818524881,2.61548598184692,1.50154546253038,2.02315793276613,1.2075309921046,0.651112316874661,1.80492937733777,1.68478802519114,1.59160639929871,1.76957804387695,1.94929110476529,2.19573687829475,5.19157946170447,2.88210214567536,3.13975676040321,1.74287179682009,0.705921294842046,1.37059103241867,2.50035771363992,1.86282488174559,2.16891546103669,1.93169033518011,0.789761918487347,1.67635946304917,1.99437819980385,1.25310025321984,3.47862058591253,1.25633287358833,2.05372076068673,2.00928096445486,2.15898840744329,2.48734634851772,1.88482538859798,1.14811069553429,3.33859192134131,1.46938945051065,2.84854837974568,1.38013054541432,3.87207517916752,2.21434067068251,1.83150183150183,3.1201248049922,1.7963376913024,2.36893549891773,2.04430346975447,4.81505799956227
