"","stewartERR2027890","shiSRR873458","shiSRR873455","stewartERR2027917","shiSRR873463","wallaceERR983265","shiSRR873599","wallaceERR983268","stewartERR2027895","hessSRR094166","stewartERR2027928","stewartERR2027923","shiSRR873457","hessSRR094424","shiSRR873597","shiSRR873452","hessSRR094418","shiSRR873460","stewartERR2027903","stewartERR2027908","shiSRR873602","shiSRR873596","stewartERR2027927","stewartERR2027929","stewartERR2027912","wallaceERR983264","shiSRR873459","shiSRR873606","shiSRR873604","stewartERR2027909","stewartERR2027920","shiSRR873454","shiSRR873462","stewartERR2027889","stewartERR2027916","shiSRR873464","stewartERR2027891","shiSRR873595","stewartERR2027900","hessSRR094416","shiSRR873609","wallaceERR983263","hessSRR094415","stewartERR2027925","shiSRR1222431","stewartERR2027898","stewartERR2027918","shiSRR873456","hessSRR094419","hessSRR094403","shiSRR873598","shiSRR873605","stewartERR2027926","hessSRR094417","stewartERR2027915","stewartERR2027897","shiSRR873607","stewartERR2027924","stewartERR2027902","wallaceERR2027890","shiSRR1222429","wallaceERR2530126","wallaceERR2027889","stewartERR2027899","shiSRR1267595","stewartERR2027919","shiSRR873608","shiSRR873451","hessSRR094428","shiSRR873601","stewartERR2027910","stewartERR2027907","hessSRR094427","shiSRR873610","wallaceERR983269","stewartERR2027921","hessSRR094405","wallaceERR983266","shiSRR873465","stewartERR2027913","wallaceERR983262","stewartERR2027905","shiSRR873461","stewartERR2027911","shiSRR873453","stewartERR2027914","stewartERR2027901","wallaceERR983267","stewartERR2027893","stewartERR2027892","shiSRR873603","stewartERR2027904","stewartERR2027896","stewartERR2027894","wallaceERR2530127","stewartERR2027906","wallaceERR2282092","stewartERR2027930","stewartERR2027922","shiSRR873600","shiSRR873450"
"Archaea",1494.79720210584,601.470338743426,628.772304909135,3159.44755460481,411.253178083201,4796.11240710216,935.501721211417,2997.58506309845,1055.75253750726,529.55985762653,3414.88766402731,1934.09182059994,255.175085790192,1180.57474619701,2105.81822936245,202.701218842649,530.677788433659,356.879755386475,1192.49973827828,2632.47951225306,1432.76873536842,887.504062778154,2658.58417705974,2113.09878129014,3315.85549422981,460.680798044822,725.011452907342,977.398092744952,1953.17002881845,1555.03423730835,3491.62633875446,214.5233208295,773.473664456399,1833.7517619086,2769.45079189977,486.647852400451,1922.9344266103,1106.62751749354,785.428231487841,531.102722744634,1501.11635967781,1280.94351115388,576.559990598927,2998.11883943911,1619.71880692477,1229.20486239371,3625.16416994168,241.812254876993,1102.04030353284,516.428462989873,1389.8039396731,1658.85935031089,2601.54063580554,533.857393087539,2907.30124996504,3698.18079870413,2154.95000764102,5057.78649612903,3337.12675445727,1034.69686685006,293.000542593598,237.582469911443,1833.7517619086,572.904339250493,937.592563002463,2255.53931146301,1404.24020169608,340.323303066086,1029.49351195741,1213.09870285064,2107.30296525654,1151.82036498495,980.448099353866,1577.80332297783,3732.8531102182,1560.72557126959,525.547135366914,971.787628984839,416.098208874389,3268.02565943529,749.062774603142,1459.16287465684,835.242868262575,2995.64001277024,213.510022484811,2494.57538502655,1492.8085941535,2856.14070221526,1221.44405830636,996.588032432036,880.16428085588,622.595011296529,1255.6892355349,685.60648008986,483.727098150338,884.035192545832,862.792656418688,1575.20145725372,1992.19089846596,1572.47209218926,246.169840227621
"Bacteria",32713.1021527966,28170.5819148335,31863.4775100734,26943.0360222314,24851.2104351671,30835.1936666912,40881.5711209532,30596.2028171132,24990.3967738628,21763.3041062592,29556.0793859527,28525.0111790818,33146.1754178821,34168.1651584444,48726.1379051105,34703.6345668159,21716.5733657471,28325.2933229038,41101.3249946519,30843.5923829129,42324.8165557828,59262.1400059907,33301.6765366736,29943.1149382589,30757.5393186497,24179.9562321294,29638.8177206174,50287.6828305495,55848.4682370631,36097.1990992356,31431.9397064657,29322.4809493479,25273.9271862881,30580.87219815,29582.7870144197,26874.1129834752,27909.2471719596,58083.1230982963,23240.0603528843,21945.8578097427,50343.5853369477,21625.9765711208,21331.2507344591,25629.0466547015,55082.8512402304,32270.8951101561,27378.242513599,31132.3536902154,27255.5153525303,21108.3085731636,42861.6539744026,48358.0036321849,29732.712535681,21923.8475669672,25677.2834465853,34736.1357102807,50109.5497806649,31809.2200747008,31428.3675644431,22279.5827230182,13004.5577862183,38981.0981651162,30580.87219815,20538.8834100374,37584.4138809327,28740.3844840071,44252.2278248911,39361.7003949673,34694.4441683811,42930.9157142031,28256.3968618809,22474.2136070552,29418.561718553,51583.3278766844,24628.0135801841,30367.7327116317,20994.2261563608,24389.6062719778,31121.0073630864,28427.5196035645,24217.8262610297,26899.7969237711,31358.355296399,28882.8044962667,33391.929388126,29865.1404804064,26776.2958372069,29080.8236686949,29019.8314043602,26561.2014039206,26775.6039813703,25666.3324369901,26846.4514879964,26193.2833931877,34169.9350084757,29112.1026333793,41081.5979206884,30922.2629818196,29265.5304161883,54962.6022870883,38409.6903042247
"Eukaryota",1456.0369757038,672.023977831816,1731.99161253186,849.17492249885,807.933232617267,2237.29374254964,933.92040355724,634.63977974272,958.601038925532,316.21668547617,1419.97985506841,748.260903638618,279.325486144423,517.524569426876,1655.11628287054,270.213388968193,318.576175926132,518.111356040674,727.10845292878,685.52199216121,1390.7477491649,1170.71740695972,864.130484221634,645.683493485743,1165.74389674205,459.083430506525,1006.92264621545,1325.03324191806,1186.85001879464,532.446327916821,954.291947639825,321.13619741902,1586.76341799074,2068.12238679885,750.421558584824,959.185005138579,1960.44226614945,964.983081761543,541.633356228395,312.166357686895,1212.84453273408,398.383636861201,317.580007050805,907.746350452535,1169.07147646725,1039.09435036482,977.889265172824,161.335506545103,245.364088647671,302.543971892689,966.728711516629,1128.53727606657,762.843752269337,318.686717648567,741.948864218935,2838.66158761804,1453.61145001641,824.327546039726,836.024855940317,1033.19638455218,269.886055344547,419.173726372706,2068.12238679885,586.837058952443,801.120414777646,677.519845878479,1155.20742608297,452.50213770919,489.082795837847,824.682458608793,839.85050244097,573.711355875528,248.804229252329,1415.70932795914,488.816692945425,711.82668172181,305.016026661572,494.615783708999,646.997382300223,950.182778896194,555.279399759779,477.379564514309,910.295101667372,1023.45339578678,260.106204850978,756.953028430161,1042.16093378783,791.367499720221,1095.74801619719,677.942057697717,835.038967377477,511.110966422939,1228.40745657706,550.961888338686,233.218863180018,540.150157171434,570.395283343801,1340.62296587463,761.245892360183,2005.09349907661,171.153425257168
"Viruses",95.8797795298926,832.641520104055,1036.01677493627,56.1244873292574,960.3522605844,141.79789764269,49.3151423082259,37.8449742062193,71.8276887324431,22.3326677662992,89.9667049047298,46.1868958109556,885.594627504519,36.3043689792742,126.9109451354,633.798177226309,22.2137966411668,862.845765483894,44.2286947141318,48.3906726315365,79.4616502114347,54.2256079296923,57.3642987746648,38.1188096655371,72.8541273768545,16.7627749468876,828.986884300185,76.8251890634074,64.4447228835143,33.8016024803131,57.5446251487499,790.124330573054,1149.42762417115,119.37316393699,50.3309431880857,1120.03066834146,122.145827042347,47.7055970817106,31.3512215078463,22.6709253758011,66.7474468552445,24.2277915588944,20.564847820126,54.4576786862602,65.3737250888415,59.2616942466637,59.9616559400571,891.432791728212,14.5233428815518,20.7334793641154,70.9325823598175,65.2587675196486,60.2680192383955,21.2970478916563,47.1975988740055,160.386090764259,75.1125485706274,52.9430709323374,51.9066457125315,67.3002036368833,13.6733586543678,18.9095154340663,119.37316393699,27.0710059171597,66.0729915169965,45.389334462828,75.7758423103366,1168.30897023495,33.9259862917949,43.7657806988804,48.6341963793858,31.9353389604381,14.1254790075802,82.5263556134356,29.9832155027718,44.92985548687,20.5268632320789,32.2188274629623,582.083585861842,57.4944040094033,29.0084909241222,25.6741002594862,699.395048409783,61.7736332750404,837.475481988231,50.7466675575457,52.3623592604074,48.180848996035,63.1151775818147,41.4613167667425,53.1160921509687,27.2321225103689,74.7732050005537,33.6779572529226,23.6008682217093,19.8044666129771,27.0159971519456,74.8810430868746,48.6732388903736,98.9550272414002,948.156051652441
