"group","hessSRR094166","hessSRR094403","hessSRR094405","hessSRR094415","hessSRR094416","hessSRR094417","hessSRR094418","hessSRR094419","hessSRR094424","hessSRR094427","hessSRR094428","shiSRR1222429","shiSRR1222431","shiSRR1267595","shiSRR873450","shiSRR873451","shiSRR873452","shiSRR873453","shiSRR873454","shiSRR873455","shiSRR873456","shiSRR873457","shiSRR873458","shiSRR873459","shiSRR873460","shiSRR873461","shiSRR873462","shiSRR873463","shiSRR873464","shiSRR873465","shiSRR873595","shiSRR873596","shiSRR873597","shiSRR873598","shiSRR873599","shiSRR873600","shiSRR873601","shiSRR873602","shiSRR873603","shiSRR873604","shiSRR873605","shiSRR873606","shiSRR873607","shiSRR873608","shiSRR873609","shiSRR873610","stewartERR2027889","stewartERR2027890","stewartERR2027891","stewartERR2027892","stewartERR2027893","stewartERR2027894","stewartERR2027895","stewartERR2027896","stewartERR2027897","stewartERR2027898","stewartERR2027899","stewartERR2027900","stewartERR2027901","stewartERR2027902","stewartERR2027903","stewartERR2027904","stewartERR2027905","stewartERR2027906","stewartERR2027907","stewartERR2027908","stewartERR2027909","stewartERR2027910","stewartERR2027911","stewartERR2027912","stewartERR2027913","stewartERR2027914","stewartERR2027915","stewartERR2027916","stewartERR2027917","stewartERR2027918","stewartERR2027919","stewartERR2027920","stewartERR2027921","stewartERR2027922","stewartERR2027923","stewartERR2027924","stewartERR2027925","stewartERR2027926","stewartERR2027927","stewartERR2027928","stewartERR2027929","stewartERR2027930","wallaceERR2027889","wallaceERR2027890","wallaceERR2282092","wallaceERR2530126","wallaceERR2530127","wallaceERR983262","wallaceERR983263","wallaceERR983264","wallaceERR983265","wallaceERR983266","wallaceERR983267","wallaceERR983268","wallaceERR983269"
"plasmid",112277.777777778,138429.411764706,159201.298701299,129218.604651163,137283.132530121,107150.862068966,115716.494845361,11169.9346405229,117775.67941041,13100.0000000001,89599.3106419647,92095.23809524,95462.8365322684,92285.9744990893,37661.2903225808,6544.30379746839,8185.18518518525,69653.1791907516,5520.54794520551,19726.6514806378,4079.64601769913,10288.1355932204,4598.1308411215,2801.4705882353,5369.64980544748,4067.35751295338,4519.18158567775,5881.18811881191,25045.6621004567,7914.89361702131,148764.634699743,136870.463622157,13676.2661804923,184135.9578851,107010.672703752,21906.9328877934,182099.000908265,113209.608606937,87861.5023474179,92663.6113657196,83231.1154360783,91450.6077726417,127598.197161488,98304.466977254,98249.1344689101,164263.102725367,101096.026490066,136065.547561951,112505.518763797,259664.935064935,129687.547746371,140216.666666667,98133.3780160858,224163.034705408,154684.407096172,133535.457348407,155191.529709229,126402.694610778,149877.606527652,149312.602291326,215852.571428572,281708.888888889,205924.528301887,97290.7683803207,166916.603487491,182833.333333333,232447.798742139,142691.402714932,222133.697135061,92702.1174205968,115257.505003336,107489.495798319,138743.613138686,108921.630094044,118240.069084629,113705.702647658,115339.514066496,111340.671436434,115366.132723112,105745.333333333,130323.126510878,105625.211984172,119515.315315315,104469.580119966,126862.091938708,223860.360360361,111773.151025482,117414.691943128,101096.026490066,102826.516220028,23679.762759246,29066.718386346,38447.4585950885,46600.9322337755,58174.2682096665,81379.433681073,30610.5726872247,76047.4214582099,60912.2362869198,66517.3201370385,57297.0846830171
"prophage",166.666666666667,0,188.311688311689,158.139534883721,138.55421686747,0,0,0,129.894058037771,0,111.158983196898,0,1985.95903645498,323.770491803279,119008.064516129,455.696202531648,351.851851851855,254.335260115608,95.8904109589047,362.186788154898,0,0,331.77570093458,2801.4705882353,16599.2217898833,49398.9637305701,8659.84654731459,326.732673267328,10776.2557077626,372.340425531917,621.237331719861,690.918562250391,791.671832269826,1277.86678873884,318.402328589909,926.48591421151,1201.18074477747,720.831014654053,371.478873239437,1313.08105276941,1135.26334995743,216.058894024996,1377.63713080169,607.152644560153,686.746987951807,533.280922431866,152.980132450331,286.171063149481,167.770419426049,938.961038961039,255.920550038197,575.333333333333,311.662198391421,259.0799031477,244.631185807656,305.241521068859,383.059418457649,166.916167664671,438.803263825929,117.021276595745,552,917.777777777778,815.292949354519,173.576561636263,207.73313115997,250.450450450451,593.7106918239,219.004524886878,281.036834924966,118.864292589028,143.42895263509,212.710084033613,132.299270072993,224.66039707419,198.618307426598,130.346232179226,237.212276214834,89.157952669235,209.382151029748,150,199.033037872683,102.31769361221,128.828828828829,142.245072836333,278.481012658228,746.246246246247,95.7116221255438,236.96682464455,152.980132450331,221.438645980254,231.800838653621,9.69743987587277,58.252427184466,100.394406597347,33.6963921034718,166.318926974665,65.1982378854626,209.839952578542,56.5400843881857,38.0662352493339,34.243405830634
"virulence",1583.33333333334,1488.23529411765,1850.64935064936,1483.72093023256,1120.48192771085,1293.10344827586,1865.9793814433,0,1357.8995854445,0,1170.18526497199,142.857142857146,1643.9520803813,2456.96721311475,5387.09677419357,4987.34177215193,5703.70370370375,4907.51445086706,6561.64383561648,2104.78359908884,5814.15929203542,3881.3559322034,3196.261682243,2698.52941176471,3708.17120622569,3886.01036269431,2161.1253196931,3386.1386138614,2488.58447488585,2680.8510638298,2454.39419149902,1931.93262719222,1208.06563354603,2420.92011902037,1945.18111254851,1753.99910671453,2747.95640326975,1828.60322760156,1337.44131455399,1803.8496791934,1722.7831164092,1760.14381099127,2618.14345991561,1879.55604275144,1580.94446752527,2823.11320754717,1681.45695364238,1849.72022382094,1575.05518763797,2280.51948051948,1556.14973262032,1252.66666666667,1288.87399463807,3003.22841000807,2213.81886087769,1668.03699897225,879.266750948167,1607.03592814371,1344.51495920218,2081.0147299509,2844.57142857143,1916.66666666667,1583.91261171798,610.28192371476,3185.74677786202,2419.81981981982,2544.65408805032,2263.34841628959,3390.17735334243,1977.38209817132,2434.2895263509,1585.08403361345,2072.0802919708,1791.01358411703,2103.62694300518,1992.8716904277,2001.27877237852,2226.74738580077,1915.33180778032,1660.66666666667,1996.77679290895,1600.90446579989,1858.55855855856,1976.00685518423,1934.71019320453,3633.63363363364,1564.32566811684,1656.3981042654,1681.45695364238,1627.64456981664,13308.7907521439,49679.4026377036,255223.586521987,57508.067407673,52582.3689584752,69635.4694485842,82761.2334801762,65611.1440426793,83259.0717299578,91129.8058622003,57981.9527996298
